# Fix print output for fix 333
2000 2e-13 0.0342775128251367 313.782848730651 -65.707142197003 -392.533290088023 6.44897902754448
4000 4e-13 0.0563603799384042 298.170644685476 246.126028627047 -433.204416681735 6.12811134191931
6000 6e-13 0.0927081302577019 305.770163801452 -159.174342913342 -518.167929198959 6.28429941783426
8000 8e-13 0.146915822484194 309.141526174172 -737.677058039668 -617.127690528081 6.35358888130837
10000 1e-12 0.236336578116824 320.2290079376 83.1604506585158 -781.251241350716 6.58146283187604
12000 1.2e-12 0.380064755292885 327.283047044452 -189.942236292022 -1041.48074610662 6.72644000460423
14000 1.4e-12 0.540804691870043 325.364395397841 -303.705241255761 -1320.69511082168 6.68700717938699
16000 1.6e-12 0.681832807355049 322.847643840516 5492.18325723787 -1564.11468297524 6.63528198766162
18000 1.8e-12 0.788482103057284 319.730343555429 4841.40883246916 -1764.28431957632 6.57121410045105
20000 2e-12 0.89697129576602 316.983214719619 -4598.6816498318 -1949.95884477929 6.51475411125862
22000 2.2e-12 0.976410371500273 308.514868021859 2384.99798348506 -2087.39646843773 6.34070957545065
24000 2.4e-12 1.00571511655538 305.186945388623 -4222.98399608405 -2167.80828943686 6.27231290127345
26000 2.6e-12 1.02440156410361 346.295878164617 3066.43600143172 -2215.52336109683 7.11719861248925
28000 2.8e-12 1.03979318398736 258.459674691673 6966.27526435944 -2253.91579774307 5.31195706934045
30000 3e-12 1.05673008649531 313.938562299156 -1084.55259862728 -2276.66946128227 6.45217930933699
32000 3.2e-12 1.07496103228944 306.403021201026 918.306783706614 -2310.14799567855 6.29730613287235
34000 3.4e-12 1.07873922774426 294.390388359646 -6280.6602421737 -2329.18530700888 6.05041814146989
36000 3.6e-12 1.08793977451395 301.208274995858 10617.4783943649 -2339.55921077658 6.19054182288514
38000 3.8e-12 1.08821985065455 289.132716067206 -588.794286167083 -2349.67021146422 5.94236055169144
40000 4e-12 1.09249499679277 306.472865007931 3630.25096168579 -2360.78230406376 6.29874158814899
42000 4.2e-12 1.09477546741851 273.254415790545 1380.70333984953 -2375.35919397868 5.6160239597092
44000 4.4e-12 1.09733117283349 305.321708483995 3782.50828114422 -2384.11873889585 6.27508260133593
46000 4.6e-12 1.09882443302838 294.837080997962 -2461.0453121736 -2396.13287709843 6.05959873074656
48000 4.8e-12 1.09977332789126 354.39276080612 -2201.62528729886 -2399.60850140401 7.28360868415116
50000 5e-12 1.09969088343916 284.555623030427 2133.3830570196 -2402.78740064963 5.84829047386305
52000 5.2e-12 1.10012501855752 296.268681539377 6233.57103943704 -2402.36542455036 6.08902150482346
54000 5.4e-12 1.09941024954059 281.735521043011 1765.71136971565 -2404.88457181519 5.79033071396556
56000 5.6e-12 1.09698657863901 283.202713164905 -6364.69468868258 -2406.84743200565 5.82048497912616
58000 5.8e-12 1.09875999722711 328.148172577061 5688.35992800595 -2406.96899041025 6.74422037863856
60000 6e-12 1.09973339013343 293.590590849447 4633.29009901585 -2406.39548518976 6.03398041266979
62000 6.2e-12 1.09981876794868 280.757895559863 9665.78549312814 -2407.94522971371 5.77023820010408
64000 6.4e-12 1.09604044421878 270.630931929166 -3815.39759961217 -2407.14731401795 5.56210516692121
66000 6.6e-12 1.09979181016479 307.175707549972 919.039148317245 -2406.96557314924 6.31318666324353
68000 6.8e-12 1.09658103802923 324.958241792924 -9826.14556364054 -2407.40915104094 6.67865976304265
70000 7e-12 1.09881219534363 286.491094041503 -446.545277175053 -2408.44683068205 5.88806897676511
72000 7.2e-12 1.09770234314509 292.67515537547 -1611.77411419827 -2407.26185814709 6.0151660504552
74000 7.4e-12 1.09893000241226 303.294350380816 -1136.39617101966 -2408.08830211735 6.23341560155692
76000 7.6e-12 1.09753830398329 308.677875946516 -2450.04622431901 -2407.25829078881 6.34405977349905
78000 7.8e-12 1.09726348010913 291.288742051942 -3089.25131999961 -2407.52238411442 5.98667198048576
80000 8e-12 1.0974429081687 276.034092623565 -554.294383323445 -2407.76076948233 5.67315288715701
82000 8.2e-12 1.09868288542512 289.597422561366 2233.49951654931 -2406.99509036086 5.95191136827344
84000 8.4e-12 1.10028731501031 306.717884027909 2321.67624282465 -2407.27905602952 6.30377730800297
86000 8.6e-12 1.09596040293182 288.96938031343 -7513.74031753236 -2406.5230967406 5.93900361597999
88000 8.8e-12 1.09912255547369 278.21194242032 4352.16785878837 -2407.29400134954 5.71791284685918
90000 9e-12 1.09905683344322 295.119546038906 4365.6445933514 -2406.96540922988 6.06540405481837
92000 9.2e-12 1.0952124593084 281.545775778047 -10799.0316097608 -2406.13000110699 5.78643100039204
94000 9.4e-12 1.0975094637747 316.789839816271 -2653.88685267533 -2407.62596813711 6.51077980003929
96000 9.6e-12 1.09978114344794 295.363125028146 1743.41770265744 -2407.45231348116 6.07041017863782
98000 9.8e-12 1.09746209927991 321.700372149304 -7738.75872302113 -2407.59666235797 6.6117028433411
100000 1e-11 1.09769488686953 326.047408847178 1123.4394069287 -2407.62622747158 6.70104471976923
102000 1.02e-11 1.09594462803226 320.343893880657 -4894.2597724766 -2406.44778906303 6.58382400948765
104000 1.04e-11 1.09744315989746 293.531368624128 -4173.9627512301 -2407.90092511343 6.03276325599411
106000 1.06e-11 1.10060679254605 292.85260215753 4605.35539774811 -2407.85820369842 6.01881300114304
108000 1.08e-11 1.09657665096127 319.724537322676 1545.71855450677 -2407.00908519738 6.57109476864753
110000 1.1e-11 1.09918337011417 292.289053232265 -4571.22470449367 -2407.14171044401 6.00723073903173
112000 1.12e-11 1.09717721706255 297.899396155877 -1442.82703741212 -2406.19557713942 6.12253654366086
