,Radius,Theta,Phi,LMP.Int.En.
151,3.5,150,0,140077287977956
152,4.0,150,0,113111361110.664
153,4.5,150,0,1034209885.66819
154,5.0,150,0,32886655.5394439
155,5.5,150,0,2142172.88950902
156,6.0,150,0,219905.484063696
157,7.0,150,0,5255.54865358074
158,8.0,150,0,213.068958914853
159,9.0,150,0,3.635182714847
160,10.0,150,0,-3.5846307651795
161,12.0,150,0,-1.17387335191536
162,15.0,150,0,-0.535691908792176
163,20.0,150,0,-0.376609498191686
164,30.0,150,0,-0.24033171436963
165,3.0,165,0,50990598512.3916
166,3.5,165,0,8619930555.39188
167,4.0,165,0,564513779.290098
168,4.5,165,0,37200508.4057844
169,5.0,165,0,3224767.12266008
170,5.5,165,0,371742.302239351
171,6.0,165,0,54290.1686398483
172,7.0,165,0,1892.06486046154
173,8.0,165,0,84.5605738340046
174,9.0,165,0,-1.65769809554869
175,10.0,165,0,-3.2406080397903
176,12.0,165,0,-1.05995505633
177,15.0,165,0,-0.524389531641141
178,20.0,165,0,-0.373650740963264
179,30.0,165,0,-0.258942755695605
180,3.0,175,0,477683742.806992
181,3.5,175,0,123987302.834999
182,4.0,175,0,19378514.9552961
183,4.5,175,0,2698510.43425852
184,5.0,175,0,401333.67480431
185,5.5,175,0,67402.2609266654
186,6.0,175,0,12789.9279744566
187,7.0,175,0,597.491435782781
188,8.0,175,0,24.9698812133394
189,9.0,175,0,-3.69103173482674
190,10.0,175,0,-2.75381367503656
191,12.0,175,0,-0.951849172328944
192,15.0,175,0,-0.513770595706117
193,20.0,175,0,-0.37150539157759
194,30.0,175,0,-0.237954006770421
195,3.0,5,30,27245977979234.2
196,3.5,5,30,2674329701.40724
197,4.0,5,30,10772692.4185211
198,4.5,5,30,217806.867278906
199,5.0,5,30,10072.2184558528
200,5.5,5,30,720.557405673634
201,6.0,5,30,53.5154408518755
202,7.0,5,30,-5.65811591841009
203,8.0,5,30,-2.56753676292612
204,9.0,5,30,-1.36804934826073
205,10.0,5,30,-0.943811362396429
206,12.0,5,30,-0.654508048100116
207,15.0,5,30,-0.498453937530074
208,20.0,5,30,-0.375863565198008
209,30.0,5,30,-0.24100832292545
210,3.0,15,30,5514217625.2197
211,3.5,15,30,79492757.6911097
212,4.0,15,30,1597410.6500537
213,4.5,15,30,62705.69761401
214,5.0,15,30,4019.30722260345
215,5.5,15,30,335.034798985891
216,6.0,15,30,21.8233191683642
217,7.0,15,30,-5.59730929288022
218,8.0,15,30,-2.49740461928651
219,9.0,15,30,-1.35876475713958
220,10.0,15,30,-0.944157457140516
221,12.0,15,30,-0.655513263549833
222,15.0,15,30,-0.499085999673749
223,20.0,15,30,-0.376342485430515
224,30.0,15,30,-0.261348563942193
225,3.0,30,30,2733375.92231367
226,3.5,30,30,325573.815871318
227,4.0,30,30,31848.5859827887
228,4.5,30,30,3340.41987876866
229,5.0,30,30,379.574911725368
230,5.5,30,30,34.3780722261049
231,6.0,30,30,-5.5654264803415
232,7.0,30,30,-5.12034274629029
233,8.0,30,30,-2.35242103609453
234,9.0,30,30,-1.33862009129247
235,10.0,30,30,-0.942651833251369
236,12.0,30,30,-0.655252035532886
237,15.0,30,30,-0.498815664901525
238,20.0,30,30,-0.376905358341283
239,30.0,30,30,-0.242027191272519
240,3.0,45,30,112205.403697514
241,3.5,45,30,16550.5554606672
242,4.0,45,30,2717.19078174008
243,4.5,45,30,461.67199324068
244,5.0,45,30,68.5708754424765
245,5.5,45,30,0.670615709805889
246,6.0,45,30,-8.12741269772535
247,7.0,45,30,-4.86822092572697
248,8.0,45,30,-2.36059510692686
249,9.0,45,30,-1.36653476195676
250,10.0,45,30,-0.957380851241898
251,12.0,45,30,-0.656647853731054
252,15.0,45,30,-0.49789959223924
253,20.0,45,30,-0.376836739137154
254,30.0,45,30,-0.262024348191275
255,3.0,60,30,92934.4637031704
256,3.5,60,30,13018.9625595386
257,4.0,60,30,2232.94638463567
258,4.5,60,30,420.510053984765
259,5.0,60,30,72.8317828355406
260,5.5,60,30,3.94474284890442
261,6.0,60,30,-7.43761028694168
262,7.0,60,30,-5.35951470104836
263,8.0,60,30,-2.6677712382015
264,9.0,60,30,-1.50321328606022
265,10.0,60,30,-1.01372160614581
266,12.0,60,30,-0.66526654354022
267,15.0,60,30,-0.497533299747904
