,Radius,Theta,Phi,"('OPT', 'INT.EN.')",LMP,Coulomb,Delta.Ener.
0,5.5,5.0,0.0,-3.1286089766654186,720.541329291752,-2.618117336767251,723.6699382684175
1,6.0,5.0,0.0,-2.82635693091288,53.5043475278306,-2.3999408920366467,56.33070445874348
2,7.0,5.0,0.0,-2.3261284352811344,-5.66294800696671,-2.0570921931742685,3.3368195716855755
3,8.0,5.0,0.0,-1.9517048412890292,-2.56967581995001,-1.799955669027485,0.6179709786609806
4,9.0,5.0,0.0,-1.6980382028159509,-1.3690776841769,-1.5999605946910977,0.32896051863905096
5,10.0,5.0,0.0,-1.5102478944718314,-0.9443656234938911,-1.4399645352219879,0.5658822709779403
6,12.0,5.0,0.0,-1.2416497725607771,-0.654740316278235,-1.1999704460183234,0.5869094562825421
7,15.0,5.0,0.0,-0.98532741165036,-0.498570520461077,-0.9599763568146586,0.48675689118928295
8,20.0,5.0,0.0,-0.7348455420942628,-0.375923690836716,-0.7199822676109939,0.3589218512575468
9,30.0,5.0,0.0,-0.4882276730240847,-0.24100796115306697,-0.4799881784073293,0.24721971187101774
10,5.5,5.0,30.0,-3.1203733091897448,720.557405673634,-2.618117336767251,723.6777789828237
11,6.0,5.0,30.0,-2.834238205461588,53.515440851875496,-2.3999408920366467,56.349679057337084
12,7.0,5.0,30.0,-2.3171688959555468,-5.658115918410091,-2.0570921931742685,3.340947022454544
13,8.0,5.0,30.0,-1.9470701327154532,-2.56753676292612,-1.799955669027485,0.620466630210667
14,9.0,5.0,30.0,-1.6961231362183753,-1.3680493482607299,-1.5999605946910977,0.3280737879576454
15,10.0,5.0,30.0,-1.5088586661404406,-0.943811362396429,-1.4399645352219879,0.5650473037440116
16,12.0,5.0,30.0,-1.2413420498778578,-0.654508048100116,-1.1999704460183234,0.5868340017777418
17,15.0,5.0,30.0,-0.9850025104242376,-0.498453937530074,-0.9599763568146586,0.4865485728941636
18,20.0,5.0,30.0,-0.7346720749519591,-0.37586356519800795,-0.7199822676109939,0.3588085097539511
19,5.5,5.0,45.0,-3.110142979086959,720.576217615932,-2.618117336767251,723.686360595019
20,6.0,5.0,45.0,-2.8201474885427165,53.52839365750629,-2.3999408920366467,56.34854114604901
21,7.0,5.0,45.0,-2.3065660583051795,-5.65247944796845,-2.0570921931742685,3.345913389663271
22,8.0,5.0,45.0,-1.9412773837466373,-2.5650395062392404,-1.799955669027485,0.6237621224926031
23,9.0,5.0,45.0,-1.6922850654591457,-1.36684688217823,-1.5999605946910977,0.32543818328091567
24,10.0,5.0,45.0,-1.5045955997920828,-0.9431617849689041,-1.4399645352219879,0.5614338148231787
25,12.0,5.0,45.0,-1.2390280670842913,-0.6542346834005159,-1.1999704460183234,0.5847933836837753
26,15.0,5.0,45.0,-0.9840239917066356,-0.49831640491001894,-0.9599763568146586,0.48570758679661663
27,20.0,5.0,45.0,-0.7344312378590985,-0.3757924287481049,-0.7199822676109939,0.35863880911099355
28,30.0,5.0,45.0,-0.4885240594412608,-0.241008401155531,-0.4799881784073293,0.24751565828572983
29,5.5,5.0,60.0,-3.097022859656136,720.600318710222,-2.618117336767251,723.6973415698782
30,6.0,5.0,60.0,-2.8055726783459245,53.5449446281029,-2.3999408920366467,56.35051730644882
31,7.0,5.0,60.0,-2.2733444526384123,-5.64528522199732,-2.0570921931742685,3.371940769358908
32,8.0,5.0,60.0,-1.9145700940935055,-2.56184894178336,-1.799955669027485,0.6472788476898546
33,9.0,5.0,60.0,-1.6675509904162027,-1.3653074645341399,-1.5999605946910977,0.3022435258820628
34,10.0,5.0,60.0,-1.5010109867689607,-0.9423278014398399,-1.4399645352219879,0.5586831853291209
35,12.0,5.0,60.0,-1.2373521042136415,-0.653881846070519,-1.1999704460183234,0.5834702581431225
36,15.0,5.0,60.0,-0.9824668555156676,-0.49813808504004203,-0.9599763568146586,0.48432877047562556
37,20.0,5.0,60.0,-0.7330568859870255,-0.37570005601959494,-0.7199822676109939,0.3573568299674305
38,5.5,5.0,90.0,-3.0485873517354776,720.656603533448,-2.618117336767251,723.7051908851835
39,6.0,5.0,90.0,-2.771836021009221,53.583412939259006,-2.3999408920366467,56.35524896026823
40,7.0,5.0,90.0,-2.2634431163569393,-5.62859750594777,-2.0570921931742685,3.3651543895908307
41,8.0,5.0,90.0,-1.916865790837619,-2.5544328633965803,-1.799955669027485,0.6375670725589613
42,9.0,5.0,90.0,-1.6756217596157512,-1.36171430558806,-1.5999605946910977,0.31390745402769116
43,10.0,5.0,90.0,-1.4736829945177303,-0.9403710805039409,-1.4399645352219879,0.5333119140137894
44,12.0,5.0,90.0,-1.2112353370139315,-0.6530455617734839,-1.1999704460183234,0.5581897752404475
45,15.0,5.0,90.0,-0.9592354176966182,-0.4977121512832971,-0.9599763568146586,0.46152326641332114
46,20.0,5.0,90.0,-0.7117701398092322,-0.375478728179997,-0.7199822676109939,0.3362914116292352
47,30.0,5.0,90.0,-0.4672621763020288,-0.24100770699257199,-0.4799881784073293,0.22625446930945683
48,5.5,5.0,120.0,-3.0362410914676734,720.710273554491,-2.618117336767251,723.7465146459587
49,6.0,5.0,120.0,-2.739080451145128,53.619866013838994,-2.3999408920366467,56.35894646498412
50,7.0,5.0,120.0,-2.2390818808416952,-5.61282276622836,-2.0570921931742685,3.373740885386665
51,8.0,5.0,120.0,-1.9029372918776064,-2.54740131311252,-1.799955669027485,0.6444640212349138
52,9.0,5.0,120.0,-1.6652853840241733,-1.35828748135721,-1.5999605946910977,0.30699790266696336
53,10.0,5.0,120.0,-1.4833727949262538,-0.9384908778365401,-1.4399645352219879,0.5448819170897138
54,12.0,5.0,120.0,-1.2256810808830778,-0.652230523738368,-1.1999704460183234,0.5734505571447098
55,15.0,5.0,120.0,-0.974180389821413,-0.49729288892660206,-0.9599763568146586,0.4768875008948109
56,20.0,5.0,120.0,-0.7280570849725336,-0.37525999727966397,-0.7199822676109939,0.35279708769286966
57,5.5,5.0,135.0,-3.0246030129674177,720.731761330878,-2.618117336767251,723.7563643438455
58,6.0,5.0,135.0,-2.7268758996106044,53.634401197585106,-2.3999408920366467,56.36127709719571
59,7.0,5.0,135.0,-2.2303308542032028,-5.606542428268571,-2.0570921931742685,3.376211574065368
60,8.0,5.0,135.0,-1.8959702654756256,-2.54459556879348,-1.799955669027485,0.6486253033178544
61,9.0,5.0,135.0,-1.6624409343021398,-1.35691417976234,-1.5999605946910977,0.3055267545397997
62,10.0,5.0,135.0,-1.4825200853265414,-0.9377334693960542,-1.4399645352219879,0.5447866159304873
63,12.0,5.0,135.0,-1.2224493423891545,-0.6518989629967761,-1.1999704460183234,0.5705503793923784
64,15.0,5.0,135.0,-0.9742744595823752,-0.497121038746658,-0.9599763568146586,0.47715342083571727
65,20.0,5.0,135.0,-0.7286683588245069,-0.375170076685625,-0.7199822676109939,0.35349828213888185
66,30.0,5.0,135.0,-0.4841709070788056,-0.241008401155531,-0.4799881784073293,0.24316250592327462
67,5.5,5.0,150.0,-3.015880264400039,720.747960703111,-2.618117336767251,723.763840967511
68,6.0,5.0,150.0,-2.7226984566113974,53.6453372857687,-2.3999408920366467,56.368035742380094
69,7.0,5.0,150.0,-2.2240386157463945,-5.601820279215129,-2.0570921931742685,3.3777816634687348
70,8.0,5.0,150.0,-1.8914503835076173,-2.54248346564194,-1.799955669027485,0.6510330821343226
71,9.0,5.0,150.0,-1.658117883176601,-1.35587825488065,-1.5999605946910977,0.30223962829595097
72,10.0,5.0,150.0,-1.480920529309515,-0.937160490729205,-1.4399645352219879,0.5437600385803099
73,12.0,5.0,150.0,-1.2208171680831583,-0.651646820243693,-1.1999704460183234,0.5691703478394653
74,15.0,5.0,150.0,-0.9729884304288134,-0.49698983708628297,-0.9599763568146586,0.4759985933425305
75,20.0,5.0,150.0,-0.7271344040127588,-0.37510143128164397,-0.7199822676109939,0.3520329727311148
76,5.5,5.0,180.0,-3.0083807955270463,720.761425063841,-2.618117336767251,723.769805859368
77,6.0,5.0,180.0,-2.7123947945437976,53.654413237576705,-2.3999408920366467,56.3668080321205
78,7.0,5.0,180.0,-2.2178604011678544,-5.597903493583339,-2.0570921931742685,3.3800430924154847
79,8.0,5.0,180.0,-1.888858218710084,-2.5407298469597204,-1.799955669027485,0.6518716282496364
80,9.0,5.0,180.0,-1.6545378851988062,-1.3550166444812801,-1.5999605946910977,0.29952124071752606
81,10.0,5.0,180.0,-1.4772670333804854,-0.9366828462028299,-1.4399645352219879,0.5405841871776554
82,12.0,5.0,180.0,-1.2204450550998445,-0.651435812310569,-1.1999704460183234,0.5690092427892754
83,15.0,5.0,180.0,-0.9707090169795264,-0.49687982755956606,-0.9599763568146586,0.47382918941996033
84,20.0,5.0,180.0,-0.7262039433262544,-0.37504353674153,-0.7199822676109939,0.35116040658472436
85,30.0,5.0,180.0,-0.4829119097194052,-0.24100796115306697,-0.4799881784073293,0.2419039485663382
86,5.5,5.0,210.0,-3.014681412365462,720.747960703111,-2.618117336767251,723.7626421154764
87,6.0,5.0,210.0,-2.7185281511556236,53.6453372857687,-2.3999408920366467,56.36386543692432
88,7.0,5.0,210.0,-2.2234199594458914,-5.601820279215129,-2.0570921931742685,3.378400319769238
89,8.0,5.0,210.0,-1.891178092773771,-2.54248346564194,-1.799955669027485,0.651305372868169
90,9.0,5.0,210.0,-1.6569033437772305,-1.35587825488065,-1.5999605946910977,0.3010250888965804
91,10.0,5.0,210.0,-1.4783467131492216,-0.937160490729205,-1.4399645352219879,0.5411862224200166
92,12.0,5.0,210.0,-1.2200944908145177,-0.651646820243693,-1.1999704460183234,0.5684476705708247
93,15.0,5.0,210.0,-0.9731750542814552,-0.49698983708628297,-0.9599763568146586,0.47618521719517226
94,20.0,5.0,210.0,-0.7280052880996664,-0.37510143128164397,-0.7199822676109939,0.3529038568180224
95,5.5,5.0,225.0,-3.0229676440430917,720.731761330878,-2.618117336767251,723.7547289749211
96,6.0,5.0,225.0,-2.7267402943871275,53.634401197585106,-2.3999408920366467,56.36114149197223
97,7.0,5.0,225.0,-2.2298369267300586,-5.606542428268571,-2.0570921931742685,3.3767055015385123
98,8.0,5.0,225.0,-1.895585969956301,-2.54459556879348,-1.799955669027485,0.6490095988371791
99,9.0,5.0,225.0,-1.6599395684570482,-1.35691417976234,-1.5999605946910977,0.3030253886947081
100,10.0,5.0,225.0,-1.4811487348742958,-0.9377334693960542,-1.4399645352219879,0.5434152654782416
101,12.0,5.0,225.0,-1.221670304897998,-0.6518989629967761,-1.1999704460183234,0.5697713419012219
102,15.0,5.0,225.0,-0.9726797907278524,-0.497121038746658,-0.9599763568146586,0.4755587519811944
103,20.0,5.0,225.0,-0.7278308712739091,-0.375170076685625,-0.7199822676109939,0.3526607945882841
104,30.0,5.0,225.0,-0.4838087942807761,-0.241008401155531,-0.4799881784073293,0.24280039312524512
105,5.5,5.0,240.0,-3.0344289192871656,720.710273554491,-2.618117336767251,723.7447024737781
106,6.0,5.0,240.0,-2.7408206111176696,53.619866013838994,-2.3999408920366467,56.360686624956664
107,7.0,5.0,240.0,-2.2386994846747257,-5.61282276622836,-2.0570921931742685,3.3741232815536346
108,8.0,5.0,240.0,-1.9010187857602432,-2.54740131311252,-1.799955669027485,0.646382527352277
109,9.0,5.0,240.0,-1.6640849564500968,-1.35828748135721,-1.5999605946910977,0.3057974750928869
110,10.0,5.0,240.0,-1.4844660150811249,-0.9384908778365401,-1.4399645352219879,0.5459751372445848
111,12.0,5.0,240.0,-1.2239987042885332,-0.652230523738368,-1.1999704460183234,0.5717681805501652
112,15.0,5.0,240.0,-0.9743172195521764,-0.49729288892660206,-0.9599763568146586,0.47702433062557437
113,20.0,5.0,240.0,-0.7086082039641042,-0.37525999727966397,-0.7199822676109939,0.3333482066844402
114,5.5,5.0,270.0,-3.0448563768295567,720.656603533448,-2.618117336767251,723.7014599102775
115,6.0,5.0,270.0,-2.7532750148711784,53.583412939259006,-2.3999408920366467,56.336687954130184
116,7.0,5.0,270.0,-2.262094881978556,-5.62859750594777,-2.0570921931742685,3.366502623969214
117,8.0,5.0,270.0,-1.9147898369192264,-2.5544328633965803,-1.799955669027485,0.6396430264773538
118,9.0,5.0,270.0,-1.6739404333820858,-1.36171430558806,-1.5999605946910977,0.3122261277940257
119,10.0,5.0,270.0,-1.4910250176362752,-0.9403710805039409,-1.4399645352219879,0.5506539371323342
120,12.0,5.0,270.0,-1.2284138142567826,-0.6530455617734839,-1.1999704460183234,0.5753682524832987
121,15.0,5.0,270.0,-0.9582896533247548,-0.4977121512832971,-0.9599763568146586,0.4605775020414577
122,20.0,5.0,270.0,-0.7112341054380522,-0.375478728179997,-0.7199822676109939,0.3357553772580552
123,30.0,5.0,270.0,-0.4858699234355299,-0.24100770699257199,-0.4799881784073293,0.24486221644295794
124,5.5,5.0,300.0,-3.092176577112696,720.600318710222,-2.618117336767251,723.6924952873347
