,elem.,idx.,x,y,z,pop.,charge
0,B,1,0.0001148660,0.0000001274,0.0000948037,4.205624,0.794376
1,F,2,0.0000254663,0.0000002928,1.4168343567,9.44854,-0.44854
2,F,3,1.3357270137,0.0000003076,-0.4722566817,9.448468,-0.448468
3,F,4,-0.6679098939,-1.1565412448,-0.4723165605,9.448692,-0.448692
4,F,5,-0.6679091494,1.1565405706,-0.4723160520,9.448676,-0.448676
