num,grad_rho,rho,type,x,y,z
1,"['-2.4610480320E-11', '4.2092995756E-12', '-1.4724887976E-11']",119.52356068,NACP,-2.59414732384404,0.765964501051498,-2.47818027555907
2,"['-3.5897854134E-11', '1.0310792151E-11', '-3.5648458144E-11']",119.49771647,NACP,-3.25773062065085,-1.7001112238466,-2.23189068895579
3,"['6.2548843882E-10', '-6.3149566201E-09', '2.9552423963E-09']",193.76993655,NACP,-3.19473246341146,1.95796756282452,-0.241580648162715
4,"['8.0948405271E-10', '1.1596489428E-09', '9.3147554166E-10']",193.73248847,NACP,-4.10081796490047,-2.01564051958698,0.219350131097432
5,"['7.1459435591E-11', '-9.8001988469E-13', '-4.4579340219E-12']",119.54575036,NACP,-4.01482434737847,0.218482576857491,1.39136351936351
6,"['5.8902670718E-11', '-7.9170736048E-11', '6.6537823428E-13']",119.37441786,NACP,-4.51158918730375,-4.45527718988233,1.45089434201248
7,"['7.0009335785E-13', '7.5718562822E-13', '7.3264097154E-13']",0.43155445824,NACP,-5.63336160325728,-5.63531159341525,0.243111384204104
8,"['1.3665006355E-14', '2.7471650172E-16', '-2.4669066753E-14']",0.43195647619,NACP,-5.4900294722921,-4.16247076917128,3.20082428338931
9,"['-1.0925391451E-13', '5.0759797841E-14', '-2.1636260627E-14']",0.42613981178,NACP,-2.70669451527475,-5.31256797941384,1.80434025729757
10,"['4.1679849676E-12', '4.4662830061E-11', '-2.0392042411E-12']",119.39610991,NACP,-2.52941610671898,4.59493320778149,0.396489015127863
11,"['3.4797197675E-15', '4.2675510410E-16', '2.3621038393E-16']",0.4232617127,NACP,-4.47149555737343,0.544889265108733,3.30954579375009
12,"['-2.4311173734E-14', '-2.4150237474E-14', '3.7754589494E-14']",0.42236451278,NACP,-1.75073579443157,1.73849247053461,-4.00551939469742
13,"['-3.4930825593E-15', '1.7394451764E-14', '1.4615045285E-14']",0.4232183488,NACP,-3.03429798512206,-3.2430944623643,-3.4823720122987
14,"['1.1395728111E-12', '7.9830180227E-11', '-4.0790235772E-12']",119.3715391,NACP,0.309460705191136,4.91806459157599,0.77031693076697
15,"['2.2666330618E-15', '-2.9581033261E-15', '-2.6535314541E-15']",0.43707341799,NACP,-3.57292582205399,5.06549513358104,2.07576850959433
16,"['-1.2378336203E-15', '2.7466906787E-15', '-7.9842003235E-16']",0.43626175851,NACP,-3.23603284170567,5.7574543110754,-1.113773469789
17,"['-1.9851741778E-16', '-1.7517098747E-15', '-2.2607309362E-16']",0.4258987965,NACP,0.996584057670448,3.75216420149151,2.28149178655626
18,"['-7.1339689798E-15', '-3.1453247125E-14', '-7.7695553984E-15']",0.42947533438,NACP,0.697094124345265,6.86925860696655,1.19930070206614
19,"['-1.5224909007E-15', '7.8677841152E-16', '2.7423403175E-15']",0.42559773839,NACP,1.34274800780647,4.38468086894141,-0.892148625707613
20,"['-1.4105439721E-09', '2.3331519233E-10', '9.2349319923E-12']",66.854251622,NACP,3.85908300760387,-0.71843455895274,0.0457961047432398
21,"['-2.6842028876E-10', '2.7377675929E-10', '-3.4771373064E-11']",425.89089219,NACP,5.294146555469,-2.88447611487683,-0.291327750602083
22,"['-1.2152516135E-10', '8.9489075872E-11', '-5.1674947741E-11']",425.852477,NACP,1.49647569800935,-1.37323564922136,1.29759642475613
23,"['2.4053930744E-10', '1.4835680514E-10', '4.6117116202E-12']",425.88382173,NACP,5.08982522788946,1.1026326923508,1.51417434640572
24,"['-1.3822992750E-10', '2.9667446451E-11', '3.1608379455E-10']",425.87038423,NACP,3.16838625375418,0.353905741011667,-2.33330419323536
25,"['5.1770653736E-18', '-4.1741783641E-18', '5.2041704279E-18']",0.0058744165606,RCP,-0.739829793273041,-0.0153150058857088,0.0231783008453005
26,"['3.1225022568E-17', '1.1492543028E-16', '1.7694179455E-16']",0.34208285347,BCP,-2.91423914879836,-0.472928528156522,-2.36499957949165
27,"['-1.0495077030E-16', '7.7195194681E-17', '-2.3245294578E-16']",0.29851780383,BCP,-2.77311135583189,1.15885531334367,-1.74529133918102
28,"['-9.8391347153E-18', '-9.7578195524E-19', '-4.8789097762E-18']",0.0056754137628,CCP,-1.07160615396819,-0.508742829160937,0.145894731800064
29,"['-2.3310346708E-18', '-1.9378419767E-17', '-5.0889739471E-18']",0.053687030256,RCP,-3.40783703594204,-0.163338185521739,-0.660777556346198
30,"['-2.3689915047E-13', '1.6974472500E-14', '-4.0603371360E-14']",0.006608327652,RCP,-0.927931110265005,-1.49665802548623,-0.200539514600328
31,"['1.3392498915E-14', '6.2434866305E-15', '-4.0313672539E-14']",0.29461462662,BCP,-3.52529313376855,-1.81531973023967,-1.43335733256023
32,"['-1.3010426070E-16', '-4.6837533851E-17', '1.4615045285E-16']",0.34075993202,BCP,-3.72705677779673,0.808382547649587,0.85159189121962
33,"['-1.1449174941E-16', '2.1079058637E-15', '1.0746611934E-15']",0.33890213371,BCP,-4.03393843790688,-0.53831121897046,1.01045365896376
34,"['1.8436857943E-16', '1.6389409903E-16', '-1.4891516839E-16']",0.2443726341,BCP,-4.38340223458359,-3.66913240105908,1.0583903391152
35,"['-9.1506663358E-17', '1.1679567903E-16', '1.6227796017E-16']",0.28885714825,BCP,-5.24222162388687,-5.21547489392439,0.656176437938008
36,"['2.8189256485E-18', '4.8789097762E-19', '1.1926223897E-18']",0.0071417775695,BCP,-1.25094973662404,-1.46299608555768,0.875263759263637
37,"['-1.5250658809E-16', '-1.3874343759E-16', '-2.3883957420E-16']",0.28832428141,BCP,-5.14692294090715,-4.25107575880561,2.58422837294455
38,"['1.4593361242E-16', '-1.6479873022E-17', '-9.0612196565E-17']",0.29029745617,BCP,-3.31434765348536,-5.01922808226507,1.68119913710606
39,"['1.1218104353E-16', '2.3628788745E-16', '5.7815080848E-17']",0.23392898649,BCP,-2.7389615402197,3.75150472563902,0.19836939672569
40,"['-1.5890473616E-15', '1.6139365777E-15', '1.0198361388E-14']",0.29911887525,BCP,-4.32613327306418,0.438474918719468,2.68248441714691
41,"['-2.0536597596E-12', '5.4529406164E-14', '-2.6859634308E-13']",0.0066417378971,BCP,-0.715628310501868,-1.24522443361598,-0.497151404698466
42,"['4.2283884727E-17', '-1.4143417340E-16', '1.0999231040E-16']",0.29648116653,BCP,-2.03504232454647,1.42777222978844,-3.4994803738877
43,"['-1.3053794157E-16', '-4.7162794503E-17', '3.1441863002E-18']",0.2945429242,BCP,-3.1170363129522,-2.7331548416285,-3.05845623823341
44,"['-5.2041704279E-18', '-1.2902005853E-17', '3.4423418976E-18']",0.0034265658656,RCP,0.442004512069296,2.01289694704124,-1.72493589013219
45,"['-1.5887516454E-13', '3.5884296701E-14', '-5.5411106476E-14']",0.0034611578561,RCP,-0.00238913679293855,1.42353759194297,1.07331288068295
46,"['-2.4164155919E-15', '-2.9005118619E-16', '-3.0726289568E-16']",0.25470643555,BCP,-0.987093393378122,4.7558687569356,0.596497253438679
47,"['-1.0408340856E-17', '2.9084570310E-16', '-6.4577791899E-17']",0.28875754203,BCP,-3.20421319173792,4.8850281523014,1.48189201728403
48,"['-2.8162997108E-13', '5.0814165159E-13', '-5.7088928311E-13']",0.28969170001,BCP,-2.98741363572084,5.34048961970811,-0.589199738390058
49,"['-1.6165947704E-13', '-4.7824699929E-15', '-4.0031427609E-14']",0.0024881494437,CCP,0.549648384547535,1.45106711260142,-0.352674029327268
50,"['3.4477629085E-17', '-1.5130888350E-16', '-1.4121733297E-17']",0.2849406566,BCP,0.741451943443743,4.15864090323754,1.76061674309478
51,"['3.3664477456E-17', '7.5230078243E-17', '1.2381588810E-16']",0.27898526467,BCP,0.542756903573822,6.16290177572909,1.04249534761849
52,"['3.4802889737E-17', '1.9770426615E-16', '-6.6244752739E-17']",0.28503095675,BCP,0.969272770219829,4.57350118056318,-0.321984270131429
53,"['5.6878262408E-18', '-2.8799120207E-19', '5.9038196424E-18']",0.0041518276093,RCP,2.69691669306594,2.49679617932283,0.106686089746997
54,"['-5.6648652783E-13', '-3.7745726141E-14', '3.4962440928E-13']",0.0047395311381,RCP,0.26947063790323,-0.213941680976295,-1.32540291890773
55,"['-9.2406377689E-13', '1.9678914531E-13', '-3.0416408324E-13']",0.0067059882123,BCP,0.341890282197839,0.5242508827335,-2.46459706128699
56,"['-6.3832932301E-18', '-2.4536426900E-18', '-1.4592260099E-18']",0.0042523383889,RCP,1.90358434500419,1.69493920529828,1.57243604025496
57,"['7.7386258463E-14', '-2.5921280127E-13', '-1.1385609760E-13']",0.0064282488208,BCP,2.76241377353719,2.68286354745098,1.72727525368945
58,"['-5.2377828129E-16', '1.4709603808E-15', '2.1324965008E-16']",0.16119575479,BCP,4.33396430990982,-1.43922455732756,-0.0664617576343841
59,"['3.3035343734E-18', '1.0209814862E-16', '-6.2961897881E-17']",0.0047195175481,BCP,1.12072892009927,1.54554003304224,1.61880967406608
60,"['-8.0749344928E-17', '-1.9610506795E-17', '-5.0144350477E-18']",0.12889384658,BCP,3.07867793943051,-0.931824569930721,0.456689090729321
61,"['-1.5470633265E-16', '-5.4248733327E-16', '-3.2884868331E-16']",0.15500495503,BCP,4.26421979335317,-0.112649583932481,0.533270707317687
62,"['9.0856989087E-16', '-1.5725166666E-16', '4.9758569322E-16']",0.008421510715,BCP,2.03356375232142,2.64354685180339,-1.39264562891784
63,"['3.2580275283E-17', '7.2553454130E-17', '-1.3525422102E-16']",0.1410276697,BCP,3.62710774238631,-0.362858750130244,-0.739201488098831
