num,grad_rho,rho,type,x,y,z
1,"['3.6946251614E-11', '-3.2592019361E-12', '-2.2167455371E-11']",119.51882177,NACP,-3.08848936521163,0.673822508014399,-2.53315762587517
2,"['4.0146691527E-11', '-9.0313594277E-12', '-2.1150562204E-11']",119.50138252,NACP,-3.61842417657744,-1.8185531785118,-2.21961585642517
3,"['7.7494177741E-11', '-3.9920865225E-11', '-9.2088316139E-12']",193.7787087,NACP,-3.65370814317534,1.87839174643939,-0.294940577638337
4,"['4.6839067173E-10', '1.2373133527E-09', '7.5442098228E-10']",193.73781415,NACP,-4.34593088906104,-2.1272009567356,0.268747363725748
5,"['7.4763389923E-12', '-1.4987646541E-12', '1.0090412880E-11']",119.54556266,NACP,-4.32593359843654,0.131085025161685,1.39844383559629
6,"['-4.5837228978E-11', '-3.5378757378E-11', '1.2362573476E-11']",119.37556155,NACP,-4.64101061422474,-4.56000901544693,1.55228997886437
7,"['9.9752823189E-13', '1.1768920392E-12', '1.0411791871E-12']",0.43116161607,NACP,-5.73120612146746,-5.80479821978015,0.382003973065982
8,"['1.9695467588E-14', '-2.9066409923E-15', '-3.0312391895E-14']",0.43168197037,NACP,-5.60980565796515,-4.26942289420346,3.30772536141532
9,"['-1.5208450818E-13', '6.8712451094E-14', '-2.9041024346E-14']",0.42584463002,NACP,-2.80007271176691,-5.34124148199641,1.89632075246658
10,"['4.0195537870E-11', '-2.6753596192E-11', '-3.7938220070E-12']",119.40033401,NACP,-2.9533093023534,4.51813914224095,0.314500423145846
11,"['-2.4185501150E-15', '9.8619199016E-17', '-6.8085694146E-16']",0.42259094616,NACP,-4.72407412016109,0.471425580970389,3.32766697753999
12,"['-3.8838236013E-14', '-5.1261322661E-14', '8.3713689192E-14']",0.42195118985,NACP,-2.37051207003756,1.66460259423791,-4.11395716450086
13,"['-4.1603005763E-15', '2.6115990880E-14', '2.0283633714E-14']",0.42267358309,NACP,-3.39370743167915,-3.37086292641126,-3.45849389733625
14,"['1.4580506941E-12', '2.7587624025E-11', '-7.2734023665E-12']",119.37199765,NACP,-0.153814282066156,4.74054813360172,0.967719409057176
15,"['1.2478489379E-15', '-3.7246139332E-15', '-8.1331002453E-16']",0.43670562981,NACP,-4.15168453658712,5.097667111285,1.85069411955301
16,"['9.5585974032E-16', '2.4900735770E-15', '7.1336437191E-16']",0.43571427252,NACP,-3.44928141438318,5.63411673275617,-1.30868749688731
17,"['-2.1876489335E-16', '2.0525302378E-15', '-2.3929968250E-15']",0.42750751454,NACP,0.308282627169503,3.63747339666314,2.60955257201091
18,"['-8.9000530036E-15', '-3.4813663996E-14', '-5.9073704045E-15']",0.42890764618,NACP,0.278624056342599,6.69366182940279,1.34218811219324
19,"['1.7282182629E-16', '-1.6303148068E-15', '-7.2370495013E-17']",0.42093957128,NACP,1.03327631893737,4.07439716463488,-0.539570020279708
20,"['-1.3961210980E-09', '1.6077807219E-10', '-6.0827451106E-12']",66.853379755,NACP,4.32292666089254,-0.581571530360267,0.0140869892309259
21,"['-1.1362549616E-10', '-1.4008433823E-10', '7.4016268808E-11']",425.85780697,NACP,1.81285416883592,-1.31039114537196,0.919078446637516
22,"['4.2658794899E-11', '5.2675630242E-11', '6.3263334567E-11']",425.88685672,NACP,5.54541790072189,0.740834440679991,1.94327809926082
23,"['6.4792130392E-10', '2.5888709076E-10', '6.7673616919E-11']",425.8893687,NACP,5.63214271847053,-2.73516117154923,-0.718139671840987
