num,grad_rho,rho,type,x,y,z
1,"['-3.7656811697E-11', '-2.7340339194E-12', '-3.7461138358E-11']",119.51245591,NACP,5.69322149895486,-0.572661408010284,-2.48891837199687
2,"['-3.5214971564E-11', '9.5320454004E-12', '1.4826256976E-11']",119.50765794,NACP,5.90623876197181,1.9791055421229,-2.25395009934897
3,"['-1.6998422808E-10', '-4.4177331932E-11', '-1.9841975285E-12']",193.7839826,NACP,6.08041379523722,-1.60286641071217,-0.122716951734865
4,"['-9.8993894679E-11', '-1.5583186594E-09', '5.3398606197E-10']",193.74524422,NACP,6.3665439926178,2.47567004463542,0.269881045135482
5,"['-4.6846335838E-11', '2.1881118879E-12', '-3.7129427137E-12']",119.54929139,NACP,6.4480661472896,0.279757186696786,1.51955841217503
6,"['-7.0726148408E-11', '5.0613940407E-11', '1.5628800202E-12']",119.377598,NACP,6.5953544511509,4.99872563819629,1.39969891308131
7,"['-1.5395670849E-16', '2.7498755226E-15', '1.9106352785E-16']",0.42979658856,NACP,8.07874718960883,6.02052735107985,0.470144741020207
8,"['-5.1667595928E-12', '1.3537513798E-12', '-2.3144200132E-11']",0.43003854287,NACP,7.03957138794278,4.79740819976636,3.36483097386805
9,"['5.8575702882E-14', '-3.2302746632E-14', '5.0246333244E-15']",0.42696824599,NACP,4.83239658519189,5.98094434303814,1.20240948656108
10,"['3.6978978473E-11', '-2.2261005702E-11', '-7.1341557065E-12']",119.3995363,NACP,5.62811976287977,-4.28342800076625,0.556521923715513
11,"['-3.5613059810E-15', '1.2896246029E-16', '-1.3522525249E-15']",0.42041292794,NACP,6.72023226147507,0.0698627502698986,3.49004002488894
12,"['3.2809340097E-14', '9.0398419002E-14', '1.3543573001E-13']",0.4207764951,NACP,5.29879784964614,-1.70684364568275,-4.08823524091176
13,"['3.9230771409E-15', '-4.4885275374E-15', '6.1653156538E-15']",0.42047983384,NACP,5.72922182938018,3.43978769157269,-3.60872778532425
14,"['8.4300545503E-09', '8.9217774314E-10', '-3.7718444774E-10']",119.37051647,NACP,2.80806611350727,-4.87196161927278,0.688052314877478
15,"['-1.4268168353E-14', '8.7335331024E-15', '-2.3635351556E-14']",0.43520783124,NACP,6.55314673080384,-4.59513559331819,2.33709261694885
16,"['-1.5298609786E-10', '1.8825845733E-10', '2.1974654943E-10']",0.43433208419,NACP,6.57875616907562,-5.4076476465027,-0.841727892468769
17,"['2.5920620495E-11', '-2.8091788742E-11', '-3.4513990095E-11']",0.426383678,NACP,1.86836902897301,-3.72620488842038,2.07887236909769
18,"['1.2679581777E-14', '7.1435438402E-14', '-1.9908120291E-14']",0.42650480102,NACP,2.5597000539593,-6.82486139737222,1.19390405649373
19,"['7.2099444470E-15', '6.0861688952E-16', '1.1376004847E-14']",0.42705342101,NACP,1.89108800389239,-4.56049557907685,-1.09820336522833
20,"['2.2884196130E-10', '-2.3345795331E-11', '-2.5936643973E-12']",66.850817107,NACP,-7.26990079171556,0.280021299793062,0.00363116462667432
21,"['-6.4982894165E-10', '-1.8737970072E-11', '-1.1251318650E-11']",425.86936496,NACP,-4.60848241891866,-0.298258180883788,-0.147806373200286
22,"['-5.0312036686E-10', '1.2070040256E-10', '4.8696847997E-11']",425.8810909,NACP,-7.52898748436008,2.83778523990885,0.713967659222602
23,"['5.1316052831E-10', '-5.4247921690E-12', '9.8325726521E-11']",425.88269337,NACP,-8.36931742025889,-0.136228442131901,-2.38152502997548
24,"['1.2967657247E-09', '1.7017295288E-10', '1.5191466759E-10']",425.88239001,NACP,-8.37956195193352,-1.30300178856349,1.83151220752372
25,"['-3.3827107782E-17', '-7.6544673377E-17', '-7.9038338374E-17']",0.33992836065,BCP,5.79569540801841,0.702880462712024,-2.38495820170924
26,"['-1.7889335846E-16', '-5.5836411883E-17', '-6.5756861761E-17']",0.29755149217,BCP,5.80728537232822,-0.915933728723687,-1.71617791851807
