num,grad_rho,rho,type,x,y,z
1,"['-3.8879982567E-11', '-5.9317706996E-12', '-1.2989161829E-11']",119.5185906,NACP,-3.85664648540128,0.551946470561241,-2.61301256779243
2,"['-6.0468654389E-11', '3.7295357774E-12', '3.1610478991E-11']",119.50299231,NACP,-4.25280008833246,-1.9520071403113,-2.19575948601924
3,"['7.7610570748E-11', '2.3720992184E-11', '-5.7692045585E-13']",193.78515214,NACP,-4.3570381930486,1.80365548899585,-0.383353375050128
4,"['-1.2424814129E-10', '1.0015603285E-09', '4.9594228117E-10']",193.74367956,NACP,-4.92019804008294,-2.20271075835058,0.31670083665278
5,"['-2.3343459110E-11', '7.1555088244E-13', '1.2461249047E-11']",119.54336051,NACP,-4.94903420768333,0.091327418762924,1.37622704735206
6,"['8.0027442030E-11', '-1.9526839618E-11', '-3.4358420243E-12']",119.3753122,NACP,-5.28124505543171,-4.60501505549728,1.64498770935344
7,"['1.3162960245E-10', '1.1398355996E-10', '9.5048350294E-11']",0.4306383379,NACP,-6.62799073690584,-5.73758908865095,0.638509679803037
8,"['3.8516098371E-14', '-1.5517342897E-14', '-1.0690671464E-13']",0.43097455042,NACP,-5.97587831874159,-4.22848188783544,3.50962824057394
9,"['-7.4288502867E-14', '3.7215781672E-14', '-5.8518389245E-15']",0.42674481559,NACP,-3.49984896341917,-5.56785052115445,1.76460064758586
10,"['-9.0717017232E-13', '4.4623433936E-11', '3.8144227360E-13']",119.40305937,NACP,-3.59405521934406,4.44981765124423,0.146053528859943
11,"['-1.0089856468E-15', '-2.1946284850E-16', '-1.6957193028E-15']",0.42179531384,NACP,-5.31613532211032,0.477188580510112,3.30346693599547
12,"['-6.7680222863E-14', '-9.3680075362E-14', '1.6793679078E-13']",0.42182231488,NACP,-3.22712555296798,1.51719423491,-4.24663784293505
13,"['-6.0212251851E-15', '4.4523561812E-14', '3.5677976415E-14']",0.421663336,NACP,-4.03277670674698,-3.53310403878545,-3.39917858108809
14,"['9.6079810774E-12', '-7.0212812127E-11', '-9.3918579511E-12']",119.37315132,NACP,-0.928954543290223,4.55153713694745,1.25247784410375
15,"['1.1009393909E-10', '-6.8188367848E-11', '-9.7892956301E-11']",0.43610074053,NACP,-4.99053218006263,5.24505452129759,1.39047586408567
16,"['1.1331810056E-15', '-1.2519892349E-14', '1.8960242989E-14']",0.43533880197,NACP,-3.71693919484997,5.42804980963127,-1.62772282149374
17,"['-1.5080168017E-15', '1.0133929286E-14', '-2.0447659950E-14']",0.43041714331,NACP,-0.895426261325974,3.78884607397643,3.13862882504218
18,"['-1.3634113370E-14', '-3.5321165480E-14', '-2.6232271563E-15']",0.42772592066,NACP,-0.313023233582436,6.48758895248312,1.34333025415316
19,"['2.1684043450E-17', '8.5806470436E-16', '2.3107058801E-18']",0.41626568056,NACP,0.400713024717088,3.48008123297247,0.148565790840644
20,"['-1.3855349185E-09', '1.7494915302E-10', '-6.2661883630E-11']",66.853012001,NACP,5.17130865245005,-0.460032121797923,-0.00135495607629768
21,"['-3.3731665725E-10', '3.0295470993E-13', '-3.2291946894E-11']",425.86328224,NACP,2.40780196104252,-0.476919335443455,-0.294371230201588
22,"['3.0003083873E-10', '-1.4446901573E-10', '3.0860883639E-12']",425.88650197,NACP,6.24147236891064,-1.36648646619969,-2.23835914001267
