,Radius,Theta,Phi,"[('OPT', 'INT.EN.')-('OPT', 'COUL.EN.')]",LMP,Coulomb,Delta.Ener.
0,5.5,5.0,0.0,-0.9116678020854105,722.13089530705,-2.618117336767251,723.0425631091354
1,6.0,5.0,0.0,-0.689534402880871,54.9148226176526,-2.3999408920366467,55.60435702053347
2,7.0,5.0,0.0,-0.256013128543068,-4.503762161078201,-2.0570921931742685,4.247749032535133
3,8.0,5.0,0.0,-0.09129851029586233,-1.5804953752856201,-1.799955669027485,1.4891968649897578
4,9.0,5.0,0.0,-0.042147185086854444,-0.503581190574975,-1.5999605946910977,0.4614340054881205
5,10.0,5.0,0.0,-0.024171595465934503,-0.17327212987654098,-1.4399645352219879,0.14910053441060647
6,12.0,5.0,0.0,-0.009971651247989044,-0.0185911161289099,-1.1999704460183234,0.008619464880920857
7,15.0,5.0,0.0,-0.0053480923583163475,0.0101588713858433,-0.9599763568146586,0.015506963744159647
8,20.0,5.0,0.0,-0.0037079545429306027,0.0137865102540421,-0.7199822676109939,0.017494464796972704
9,30.0,5.0,0.0,-0.0032862811811048,0.0140320288417418,-0.4799881784073293,0.0173183100228466
10,5.5,5.0,30.0,-0.8829154948570568,722.146545399801,-2.618117336767251,723.029460894658
11,6.0,5.0,30.0,-0.6516807020399189,54.9255266008002,-2.3999408920366467,55.577207302840115
12,7.0,5.0,30.0,-0.24305832514280246,-4.49925699832616,-2.0570921931742685,4.256198673183357
13,8.0,5.0,30.0,-0.08653479935552233,-1.57863318631399,-1.799955669027485,1.4920983869584676
14,9.0,5.0,30.0,-0.040297254357726464,-0.5027895044931021,-1.5999605946910977,0.46249225013537565
15,10.0,5.0,30.0,-0.023127384665637907,-0.172921524009103,-1.4399645352219879,0.14979413934346508
16,12.0,5.0,30.0,-0.009776046926841087,-0.0185129408275417,-1.1999704460183234,0.008736893900700614
17,15.0,5.0,30.0,-0.005143530747359959,0.0101698316913106,-0.9599763568146586,0.015313362438670559
18,20.0,5.0,30.0,-0.003614120771599283,0.0137872517018209,-0.7199822676109939,0.017401372473420183
19,5.5,5.0,45.0,-0.8561500966091371,722.164854762591,-2.618117336767251,723.0210048592
20,6.0,5.0,45.0,-0.6356040691164098,54.938020136855,-2.3999408920366467,55.57362420597141
21,7.0,5.0,45.0,-0.2296761969906993,-4.4940061026958,-2.0570921931742685,4.2643299057051
22,8.0,5.0,45.0,-0.08116666502251646,-1.57646273087743,-1.799955669027485,1.4952960658549135
23,9.0,5.0,45.0,-0.03762712663424295,-0.501866325505444,-1.5999605946910977,0.464239198871201
24,10.0,5.0,45.0,-0.01969630807852063,-0.17251242384121898,-1.4399645352219879,0.15281611576269835
25,12.0,5.0,45.0,-0.008038943121893238,-0.0184215976025555,-1.1999704460183234,0.010382654480662262
26,15.0,5.0,45.0,-0.004598799048080804,0.0101826621677657,-0.9599763568146586,0.014781461215846503
27,20.0,5.0,45.0,-0.0035929214001497733,0.0137881217470295,-0.7199822676109939,0.017381043147179275
28,30.0,5.0,45.0,-0.0037191074736143137,0.0140320288417418,-0.4799881784073293,0.017751136315356113
29,5.5,5.0,60.0,-0.8284979350885013,722.188305575726,-2.618117336767251,723.0168035108145
30,6.0,5.0,60.0,-0.6135835248052768,54.9539767607979,-2.3999408920366467,55.56756028560318
31,7.0,5.0,60.0,-0.19833511192811093,-4.48731122544542,-2.0570921931742685,4.288976113517309
32,8.0,5.0,60.0,-0.057681571833736234,-1.5736953387546,-1.799955669027485,1.5160137669208638
33,9.0,5.0,60.0,-0.015389988511002484,-0.5006885483618989,-1.5999605946910977,0.4852985598508964
34,10.0,5.0,60.0,-0.017237076425964393,-0.171990084997099,-1.4399645352219879,0.1547530085711346
35,12.0,5.0,60.0,-0.007471408623531461,-0.018304771418494,-1.1999704460183234,0.01083336279496254
36,15.0,5.0,60.0,-0.003510658165099545,0.0101991103384799,-0.9599763568146586,0.013709768503579444
37,20.0,5.0,60.0,-0.002319800926078308,0.0137892404417249,-0.7199822676109939,0.01610904136780321
38,5.5,5.0,90.0,-0.7593296108634688,722.2430418068,-2.618117336767251,723.0023714176634
39,6.0,5.0,90.0,-0.5688487696844016,54.9910295108953,-2.3999408920366467,55.5598782805797
40,7.0,5.0,90.0,-0.18331923324450194,-4.47181364758844,-2.0570921931742685,4.288494414343938
41,8.0,5.0,90.0,-0.06324238949176308,-1.5672887170465202,-1.799955669027485,1.504046327554757
42,9.0,5.0,90.0,-0.026703206670784407,-0.49795883347864295,-1.5999605946910977,0.47125562680785854
43,10.0,5.0,90.0,0.00634845362209413,-0.17077762751484,-1.4399645352219879,0.17712608113693412
44,12.0,5.0,90.0,0.016296028827930575,-0.0180327094360969,-1.1999704460183234,0.03432873826402748
45,15.0,5.0,90.0,0.018146702925087355,0.0102375849259724,-0.9599763568146586,0.007909117999114954
46,20.0,5.0,90.0,0.01789478658114374,0.0137918721781074,-0.7199822676109939,0.00410291440303634
47,30.0,5.0,90.0,0.017020997524968107,0.0140320288417418,-0.4799881784073293,0.002988968683226307
48,5.5,5.0,120.0,-0.7274082110474187,722.2951934564869,-2.618117336767251,723.0226016675343
49,6.0,5.0,120.0,-0.5265016968420748,55.0260937534604,-2.3999408920366467,55.552595450302476
50,7.0,5.0,120.0,-0.16357073058671023,-4.45720807169913,-2.0570921931742685,4.29363734111242
51,8.0,5.0,120.0,-0.05506991869887434,-1.5612496764672101,-1.799955669027485,1.5061797577683358
52,9.0,5.0,120.0,-0.02121307247617321,-0.495381547146725,-1.5999605946910977,0.4741684746705518
53,10.0,5.0,120.0,-0.006883262558519787,-0.16963041978750001,-1.4399645352219879,0.16274715722898023
54,12.0,5.0,120.0,-0.0005709900295423065,-0.0177741091310458,-1.1999704460183234,0.017203119101503492
55,15.0,5.0,120.0,0.0016480068980618823,0.0102743845120213,-0.9599763568146586,0.008626377613959417
56,20.0,5.0,120.0,0.0007573240704784601,0.0137944095715317,-0.7199822676109939,0.01303708550105324
57,5.5,5.0,135.0,-0.7167912653105297,722.3160605310879,-2.618117336767251,723.0328517963985
58,6.0,5.0,135.0,-0.5098875517633776,55.040061092342796,-2.3999408920366467,55.54994864410617
59,7.0,5.0,135.0,-0.1584818393927847,-4.451405898780759,-2.0570921931742685,4.292924059387975
60,8.0,5.0,135.0,-0.05143241111024399,-1.55885017841133,-1.799955669027485,1.507417767301086
61,9.0,5.0,135.0,-0.02124292720562626,-0.49435632472525,-1.5999605946910977,0.4731133975196237
62,10.0,5.0,135.0,-0.007995321145306988,-0.169173381362797,-1.4399645352219879,0.16117806021749
63,12.0,5.0,135.0,0.0011845075053740217,-0.0176707535048626,-1.1999704460183234,0.018855261010236622
64,15.0,5.0,135.0,0.0007425656448867279,0.0102891568275344,-0.9599763568146586,0.009546591182647671
65,20.0,5.0,135.0,-0.0003024854854604131,0.0137954338908681,-0.7199822676109939,0.014097919376328514
66,30.0,5.0,135.0,-0.0005230085078022362,0.0140320288417418,-0.4799881784073293,0.014555037349544036
67,5.5,5.0,150.0,-0.7115744133405291,722.3317870067309,-2.618117336767251,723.0433614200714
68,6.0,5.0,150.0,-0.5090844299663808,55.0505645677316,-2.3999408920366467,55.55964899769798
69,7.0,5.0,150.0,-0.15582151237914887,-4.44704841015238,-2.0570921931742685,4.291226897773232
70,8.0,5.0,150.0,-0.05035779413099495,-1.5570479302040299,-1.799955669027485,1.506690136073035
71,9.0,5.0,150.0,-0.01970612218156753,-0.49358582672521206,-1.5999605946910977,0.47387970454364453
72,10.0,5.0,150.0,-0.00841977176476627,-0.16882963231550102,-1.4399645352219879,0.16040986055073475
73,12.0,5.0,150.0,0.0016354611102180616,-0.017592889723849,-1.1999704460183234,0.01922835083406706
74,15.0,5.0,150.0,0.001297012669279507,0.0103003105946148,-0.9599763568146586,0.009003297925335293
75,20.0,5.0,150.0,0.0007885992288281241,0.0137962095283064,-0.7199822676109939,0.013007610299478277
76,5.5,5.0,180.0,-0.7095584601624698,722.3448550722779,-2.618117336767251,723.0544135324404
77,6.0,5.0,180.0,-0.5058602362698581,55.059277716538105,-2.3999408920366467,55.565137952807966
78,7.0,5.0,180.0,-0.15595600669619136,-4.44343735737755,-2.0570921931742685,4.287481350681359
79,8.0,5.0,180.0,-0.051356230346099485,-1.55555426184821,-1.799955669027485,1.5041980315021106
80,9.0,5.0,180.0,-0.020537963602846654,-0.49294694799138705,-1.5999605946910977,0.4724089843885404
81,10.0,5.0,180.0,-0.007979764976833614,-0.168544428306524,-1.4399645352219879,0.16056466332969038
82,12.0,5.0,180.0,-9.396495455105125e-05,-0.0175282027581125,-1.1999704460183234,0.01743423780356145
83,15.0,5.0,180.0,0.0025184143634395806,0.0103095933361174,-0.9599763568146586,0.0077911789726778195
84,20.0,5.0,180.0,0.001054588753409913,0.0137968565358929,-0.7199822676109939,0.012742267782482986
85,30.0,5.0,180.0,0.0002710731320948456,0.0140320288417418,-0.4799881784073293,0.013760955709646954
86,5.5,5.0,210.0,-0.7217039641153278,722.3317870067309,-2.618117336767251,723.0534909708463
87,6.0,5.0,210.0,-0.5172430951769709,55.0505645677316,-2.3999408920366467,55.56780766290857
88,7.0,5.0,210.0,-0.16330316613198992,-4.44704841015238,-2.0570921931742685,4.28374524402039
89,8.0,5.0,210.0,-0.054225265490162045,-1.5570479302040299,-1.799955669027485,1.5028226647138678
90,9.0,5.0,210.0,-0.022528514335208305,-0.49358582672521206,-1.5999605946910977,0.47105731239000376
91,10.0,5.0,210.0,-0.009638466549135138,-0.16882963231550102,-1.4399645352219879,0.15919116576636588
92,12.0,5.0,210.0,-0.0005177396860063244,-0.017592889723849,-1.1999704460183234,0.017075150037842674
93,15.0,5.0,210.0,-0.0008242348530251853,0.0103003105946148,-0.9599763568146586,0.011124545447639985
94,20.0,5.0,210.0,-0.0011219568522574663,0.0137962095283064,-0.7199822676109939,0.014918166380563867
95,5.5,5.0,225.0,-0.7315101751724953,722.316060531089,-2.618117336767251,723.0475707062615
96,6.0,5.0,225.0,-0.5283489959847443,55.040061092342796,-2.3999408920366467,55.56841008832754
97,7.0,5.0,225.0,-0.1674942818619778,-4.451405898780759,-2.0570921931742685,4.283911616918782
98,8.0,5.0,225.0,-0.05810843701809243,-1.55885017841133,-1.799955669027485,1.5007417413932376
99,9.0,5.0,225.0,-0.024325985246951287,-0.49435632472525,-1.5999605946910977,0.4700303394782987
100,10.0,5.0,225.0,-0.011617024662222253,-0.169173381362797,-1.4399645352219879,0.15755635670057475
101,12.0,5.0,225.0,-0.0013188837174884505,-0.0176707535048626,-1.1999704460183234,0.01635186978737415
102,15.0,5.0,225.0,0.0002927541026676028,0.0102891568275344,-0.9599763568146586,0.009996402724866797
103,20.0,5.0,225.0,-0.0006621304797844729,0.0137954338908681,-0.7199822676109939,0.014457564370652574
104,30.0,5.0,225.0,-0.000621403908323992,0.0140320288417418,-0.4799881784073293,0.014653432750065792
105,5.5,5.0,240.0,-0.7443977853598387,722.2951934564869,-2.618117336767251,723.0395912418468
106,6.0,5.0,240.0,-0.54409079679712,55.0260937534604,-2.3999408920366467,55.57018455025752
107,7.0,5.0,240.0,-0.17422498501189665,-4.45720807169913,-2.0570921931742685,4.282983086687233
108,8.0,5.0,240.0,-0.06115805737828439,-1.5612496764672101,-1.799955669027485,1.5000916190889257
109,9.0,5.0,240.0,-0.02618550162013844,-0.495381547146725,-1.5999605946910977,0.46919604552658656
