Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N3        C1           4.4542487656E+01         3.8240854191E+01        3.3085196612E+01
N3        C5           4.6653251277E+01         3.9445808830E+01        3.3652997568E+01
N3        C10          6.5708194855E+01         5.3861505970E+01        4.4324721026E+01
C5        N3           4.6653251278E+01         3.9445808831E+01        3.3652997569E+01
C5        N4           5.1354808343E+01         4.2871130061E+01        3.6114747800E+01
C5        H11          4.2725438869E+01         3.2646936058E+01        2.5472036377E+01
C6        N4           6.5639156418E+01         4.9788450017E+01        3.7625995713E+01
C6        H7           4.1020899016E+01         3.1957619399E+01        2.5487619962E+01
C6        H8           4.2622853924E+01         3.3259565006E+01        2.6565868130E+01
C6        H9           4.3465985908E+01         3.2603487272E+01        2.4587792495E+01
H7        C6           4.1020899016E+01         3.1957619399E+01        2.5487619962E+01
H8        C6           4.2622853924E+01         3.3259565006E+01        2.6565868130E+01
H9        C6           4.3465985908E+01         3.2603487272E+01        2.4587792495E+01
C10       N3           6.5708194866E+01         5.3861505980E+01        4.4324721036E+01
C10       C14          5.9263978437E+01         4.8875966340E+01        4.0641539124E+01
C10       H15          4.4962918136E+01         3.4997774728E+01        2.7796534082E+01
C10       H16          4.3130206828E+01         3.3535595035E+01        2.6628286299E+01
H11       C5           4.2725438869E+01         3.2646936058E+01        2.5472036377E+01
H12       C1           4.4237523247E+01         3.4305638153E+01        2.6473336865E+01
H13       C2           4.0655700989E+01         3.1230176294E+01        2.4667233043E+01
C14       C10          5.9263978437E+01         4.8875966340E+01        4.0641539124E+01
C14       H17          4.3222960544E+01         3.5769179459E+01        3.0056583404E+01
C14       H18          4.1170766754E+01         3.2122760436E+01        2.5852286929E+01
C14       H19          4.1612043934E+01         3.5097340521E+01        2.9832805415E+01
H15       C10          4.4962918136E+01         3.4997774728E+01        2.7796534082E+01
H16       C10          4.3130206828E+01         3.3535595035E+01        2.6628286299E+01
H17       C14          4.3222960544E+01         3.5769179459E+01        3.0056583404E+01
H17       F22          1.0336566874E+01         8.6543103085E+00        7.0595741343E+00
H17       F23          1.5604174211E+01         1.1353910137E+01        8.0545656398E+00
H18       C14          4.1170766754E+01         3.2122760436E+01        2.5852286929E+01
H19       C14          4.1612043934E+01         3.5097340522E+01        2.9832805415E+01
H19       F24          1.6234510892E+01         1.3492099301E+01        1.1117351921E+01
B20       F21          4.9978619691E+01         4.0842588235E+01        3.4270893276E+01
B20       F22          4.6423895534E+01         4.0604345163E+01        3.6053294745E+01
B20       F23          4.7860558669E+01         4.0877574056E+01        3.5502355013E+01
B20       F24          4.7058560127E+01         4.1106279435E+01        3.6374206264E+01
F21       B20          4.9978619691E+01         4.0842588235E+01        3.4270893276E+01
F23       H17          1.5604174211E+01         1.1353910137E+01        8.0545656398E+00
F23       B20          4.7860558668E+01         4.0877574055E+01        3.5502355012E+01
F24       C1           1.6205136087E+01         1.1907480836E+01        8.3831297522E+00
F24       H19          1.6234510902E+01         1.3492099312E+01        1.1117351931E+01
F24       B20          4.7058560127E+01         4.1106279435E+01        3.6374206264E+01
