Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.4751008654E+01         3.7854175642E+01        3.2724805560E+01
C1        N3           4.4180990162E+01         3.7934895300E+01        3.2821299504E+01
C1        H12          4.4351079674E+01         3.4481064457E+01        2.6716475765E+01
C1        F24          1.6911011422E+01         1.2609922801E+01        9.0933113054E+00
N3        C1           4.4180990162E+01         3.7934895300E+01        3.2821299504E+01
N3        C5           4.6790434715E+01         3.9617756108E+01        3.3878975734E+01
N3        C10          6.5272492380E+01         5.3531194334E+01        4.4090308566E+01
C6        N4           6.5742680401E+01         4.9975327246E+01        3.7828824813E+01
C6        H7           4.1066043192E+01         3.1984992686E+01        2.5512333680E+01
C6        H8           4.2629732557E+01         3.3251130685E+01        2.6557572014E+01
C6        H9           4.3524286739E+01         3.2769607204E+01        2.4766286602E+01
H7        C6           4.1066043192E+01         3.1984992686E+01        2.5512333680E+01
H8        C6           4.2629732557E+01         3.3251130685E+01        2.6557572014E+01
H9        C6           4.3524286739E+01         3.2769607204E+01        2.4766286602E+01
C10       N3           6.5272492380E+01         5.3531194334E+01        4.4090308566E+01
C10       C14          5.8849878567E+01         4.8539808119E+01        4.0414411806E+01
C10       H15          4.5019513556E+01         3.5044479893E+01        2.7830863555E+01
C10       H16          4.3112206116E+01         3.3539794548E+01        2.6616810643E+01
H11       C5           4.2751928482E+01         3.2649612795E+01        2.5492706144E+01
H12       C1           4.4351079674E+01         3.4481064457E+01        2.6716475765E+01
H13       C2           4.0688657089E+01         3.1260003035E+01        2.4689548409E+01
C14       C10          5.8849878567E+01         4.8539808119E+01        4.0414411806E+01
C14       H17          4.2851710743E+01         3.5470446059E+01        2.9839969239E+01
C14       H18          4.1201943261E+01         3.2146358333E+01        2.5862722842E+01
C14       H19          4.1507758528E+01         3.4975777857E+01        2.9726246453E+01
H15       C10          4.5019513556E+01         3.5044479893E+01        2.7830863555E+01
H16       C10          4.3112206116E+01         3.3539794548E+01        2.6616810643E+01
H17       C14          4.2851710743E+01         3.5470446059E+01        2.9839969239E+01
H17       F23          1.5930267003E+01         1.1669759768E+01        8.3534614600E+00
H17       F22          1.0039920525E+01         8.3903999523E+00        6.8426161769E+00
H18       C14          4.1201943261E+01         3.2146358333E+01        2.5862722842E+01
H19       C14          4.1507758528E+01         3.4975777857E+01        2.9726246453E+01
H19       F24          1.5953192367E+01         1.3257297472E+01        1.0933640413E+01
B20       F21          4.9980890997E+01         4.0846597080E+01        3.4254458977E+01
B20       F22          4.6166335086E+01         4.0402712223E+01        3.5892617124E+01
B20       F23          4.7705063102E+01         4.0777043212E+01        3.5425897912E+01
B20       F24          4.6707174160E+01         4.0827411157E+01        3.6168149020E+01
F21       B20          4.9980890997E+01         4.0846597080E+01        3.4254458977E+01
F23       H17          1.5930267003E+01         1.1669759768E+01        8.3534614600E+00
F23       B20          4.7705063103E+01         4.0777043214E+01        3.5425897913E+01
F24       C1           1.6911011422E+01         1.2609922801E+01        9.0933113054E+00
F24       H19          1.5953192366E+01         1.3257297471E+01        1.0933640412E+01
F24       B20          4.6707174149E+01         4.0827411147E+01        3.6168149010E+01
