Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.0643344472E+01         3.4899616873E+01        3.0552643025E+01
C1        N3           9.1875873181E+01         7.7095509225E+01        6.5506500538E+01
C1        H12          4.9571125755E+01         4.0467936009E+01        3.3464439377E+01
C1        F24          1.7258963232E+01         1.4710794733E+01        1.2557135332E+01
C2        C1           4.0643344472E+01         3.4899616873E+01        3.0552643025E+01
C2        N4           4.9674134338E+01         3.8669741386E+01        3.1053743835E+01
C2        H13          4.1953731118E+01         3.1894502428E+01        2.4877283759E+01
C2        F21          2.5483606729E+01         1.7344542128E+01        1.1835034347E+01
N3        C1           4.9995942494E+01         4.3854295462E+01        3.8968026113E+01
N3        C5           5.1798968212E+01         4.2001603330E+01        3.4225013335E+01
N3        C10          6.5246177456E+01         5.4176286637E+01        4.5528799385E+01
N3        F22          2.2061953414E+01         1.8428741823E+01        1.5346990464E+01
N4        C2           4.9674134338E+01         3.8669741386E+01        3.1053743835E+01
N4        C5           4.5836757951E+01         3.7730622468E+01        3.1332745278E+01
N4        C6           6.4617428379E+01         4.8058161580E+01        3.7207438679E+01
C5        N3           5.1798968212E+01         4.2001603330E+01        3.4225013335E+01
C5        N4           4.5836757951E+01         3.7730622468E+01        3.1332745278E+01
C5        H11          4.2318132506E+01         3.2196167652E+01        2.5011704446E+01
C6        N4           6.4617428379E+01         4.8058161580E+01        3.7207438679E+01
C6        H7           4.1186533312E+01         3.2074638460E+01        2.5585257359E+01
C6        H8           4.2704610272E+01         3.3300510948E+01        2.6598620725E+01
C6        H9           4.2589402703E+01         3.1026716076E+01        2.4291524510E+01
H7        C6           4.1186533312E+01         3.2074638460E+01        2.5585257359E+01
H8        C6           4.2704610272E+01         3.3300510948E+01        2.6598620725E+01
H9        C6           4.2589402703E+01         3.1026716076E+01        2.4291524510E+01
C10       N3           6.5246177456E+01         5.4176286637E+01        4.5528799385E+01
C10       C14          6.6173471799E+01         5.4172196913E+01        4.4832333231E+01
C10       H16          4.3044685090E+01         3.3433499916E+01        2.6571754146E+01
C10       H15          3.7140455893E+01         3.0679939853E+01        2.5601527730E+01
H11       C5           4.2318132506E+01         3.2196167652E+01        2.5011704446E+01
H12       C1           4.9814455901E+01         4.0693613843E+01        3.3699899462E+01
H13       C2           4.1953731118E+01         3.1894502428E+01        2.4877283759E+01
C14       C10          6.6173471799E+01         5.4172196913E+01        4.4832333231E+01
C14       H18          4.0879408629E+01         3.1926353034E+01        2.5714113235E+01
C14       H17          3.9938397582E+01         3.3616840639E+01        2.8595997934E+01
C14       H19          4.5173901390E+01         3.5446644418E+01        2.8369990903E+01
H15       C10          3.7140455892E+01         3.0679939853E+01        2.5601527730E+01
H15       F22          1.5239970123E+01         1.1788271437E+01        8.8166874904E+00
H16       C10          4.3044685090E+01         3.3433499916E+01        2.6571754146E+01
H17       C14          3.9938397582E+01         3.3616840639E+01        2.8595997934E+01
H17       F24          1.6022836999E+01         1.2217525557E+01        9.0182514170E+00
H18       C14          4.0879408629E+01         3.1926353034E+01        2.5714113235E+01
H19       C14          4.5173901390E+01         3.5446644418E+01        2.8369990903E+01
B20       F21          4.7677855445E+01         4.0787200324E+01        3.5390884181E+01
B20       F22          4.7017416665E+01         4.0930823466E+01        3.5935561763E+01
B20       F23          4.9639019081E+01         4.0634307232E+01        3.4109918919E+01
B20       F24          4.6865675192E+01         4.0617075626E+01        3.5602339953E+01
F21       C2           2.5483606729E+01         1.7344542128E+01        1.1835034347E+01
F21       B20          4.7677855443E+01         4.0787200323E+01        3.5390884179E+01
F22       N3           2.2061953414E+01         1.8428741823E+01        1.5346990464E+01
F22       H15          1.5239970123E+01         1.1788271437E+01        8.8166874904E+00
F22       B20          4.7017416665E+01         4.0930823466E+01        3.5935561763E+01
F23       B20          4.9639019081E+01         4.0634307232E+01        3.4109918919E+01
F24       C1           1.7258963232E+01         1.4710794733E+01        1.2557135332E+01
F24       H17          1.6022836999E+01         1.2217525557E+01        9.0182514170E+00
F24       B20          4.6865675192E+01         4.0617075627E+01        3.5602339954E+01
