Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.2669214667E+01         3.6454488375E+01        3.1108329266E+01
C1        N3           5.4374465651E+01         4.7784634766E+01        4.2146915022E+01
C1        H12          4.8842700364E+01         3.8785701358E+01        3.0984989515E+01
C1        F24          1.0979465370E+01         8.2158559078E+00        5.4526886932E+00
C2        C1           4.2669214667E+01         3.6454488375E+01        3.1108329266E+01
C2        N4           4.5594940151E+01         3.6012230478E+01        2.9796210566E+01
C2        H13          4.1095367263E+01         3.1214263688E+01        2.4571808937E+01
C2        F21          1.4734836145E+01         8.0067037442E+00        3.2197001977E+00
N3        C1           5.4374465651E+01         4.7784634766E+01        4.2146915022E+01
N3        C5           5.4589747590E+01         4.3587105924E+01        3.5150076210E+01
N3        F22          3.5783011343E+01         2.8434794330E+01        2.2129195678E+01
N3        C10          7.3096864250E+01         5.9740869704E+01        4.8935243476E+01
N4        C2           4.5594940151E+01         3.6012230478E+01        2.9796210566E+01
N4        C5           4.8212432307E+01         3.8989810054E+01        3.1961657523E+01
N4        C6           6.2746164848E+01         4.7146594684E+01        3.7137443671E+01
C5        N3           5.4589747590E+01         4.3587105924E+01        3.5150076210E+01
C5        N4           4.8212432307E+01         3.8989810054E+01        3.1961657523E+01
C5        H11          4.2543522046E+01         3.2563697823E+01        2.5435766786E+01
C6        N4           6.2746164848E+01         4.7146594684E+01        3.7137443671E+01
C6        H7           4.0684766892E+01         3.1672853330E+01        2.5276950738E+01
C6        H8           4.2775440630E+01         3.3393833764E+01        2.6684848827E+01
C6        H9           4.0971493399E+01         3.0348463384E+01        2.4312750740E+01
H7        C6           4.0684766892E+01         3.1672853330E+01        2.5276950738E+01
H8        C6           4.2775440630E+01         3.3393833764E+01        2.6684848827E+01
H9        C6           4.0971493399E+01         3.0348463384E+01        2.4312750740E+01
C10       N3           7.3096864250E+01         5.9740869704E+01        4.8935243476E+01
C10       H16          4.1556731555E+01         3.2352669187E+01        2.5918817993E+01
C10       C14          6.4842801674E+01         5.3722301185E+01        4.5015402867E+01
C10       H15          4.7056933379E+01         3.6731118146E+01        2.8611944437E+01
H11       C5           4.2543522046E+01         3.2563697823E+01        2.5435766786E+01
H12       C1           4.8842700364E+01         3.8785701358E+01        3.0984989515E+01
H13       C2           4.1095367263E+01         3.1214263688E+01        2.4571808937E+01
C14       C10          6.4842801674E+01         5.3722301185E+01        4.5015402867E+01
C14       H17          3.6967458933E+01         3.1551460221E+01        2.7215585982E+01
C14       H19          4.6703835962E+01         3.6893378137E+01        2.9718491561E+01
C14       H18          4.0950193816E+01         3.1983200639E+01        2.5777672125E+01
H15       C10          4.7056933379E+01         3.6731118146E+01        2.8611944437E+01
H16       C10          4.1556731555E+01         3.2352669187E+01        2.5918817993E+01
H17       C14          3.6967458929E+01         3.1551460217E+01        2.7215585978E+01
H17       F24          2.4906250376E+01         1.9650113197E+01        1.5290000255E+01
H18       C14          4.0950193816E+01         3.1983200639E+01        2.5777672125E+01
H19       C14          4.6703835962E+01         3.6893378137E+01        2.9718491561E+01
B20       F24          5.2869239188E+01         4.5316970082E+01        3.9054361917E+01
B20       F21          4.9989034543E+01         4.2077749803E+01        3.5746269287E+01
B20       F22          5.3100053041E+01         4.5734549339E+01        3.9701843424E+01
B20       F23          4.9735126983E+01         4.0690052360E+01        3.4154888500E+01
F21       C2           1.4734836145E+01         8.0067037442E+00        3.2197001977E+00
F21       B20          4.9989034543E+01         4.2077749803E+01        3.5746269287E+01
F22       N3           3.5783011343E+01         2.8434794330E+01        2.2129195678E+01
F22       B20          5.3100053041E+01         4.5734549339E+01        3.9701843424E+01
F23       B20          4.9735126983E+01         4.0690052360E+01        3.4154888500E+01
F24       C1           1.0979465370E+01         8.2158559078E+00        5.4526886932E+00
F24       H17          2.4906250376E+01         1.9650113197E+01        1.5290000255E+01
F24       B20          5.2869239188E+01         4.5316970082E+01        3.9054361917E+01
