Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.1364329411E+01         3.5497231584E+01        3.1031919060E+01
C1        N3           4.8082562148E+01         4.1922741805E+01        3.6980350162E+01
C1        H12          4.8745585248E+01         3.8991916676E+01        3.1385132356E+01
C1        F24          1.5758506057E+01         1.2832012996E+01        1.0260531471E+01
C2        C1           4.1364329411E+01         3.5497231584E+01        3.1031919060E+01
C2        N4           5.2809105281E+01         4.1706856671E+01        3.1880563107E+01
C2        H13          4.1707246269E+01         3.1663449445E+01        2.4701917101E+01
C2        F21          2.8195447615E+01         2.0109557273E+01        1.2413701872E+01
N3        C1           4.8082562148E+01         4.1922741805E+01        3.6980350162E+01
N3        C5           5.1373810609E+01         4.1789961521E+01        3.4074432227E+01
N3        F22          2.4922585774E+01         1.9942195035E+01        1.5590984795E+01
N3        C10          6.7190967422E+01         5.5168644076E+01        4.5645054828E+01
N4        C2           5.2809105281E+01         4.1706856671E+01        3.1880563107E+01
N4        C5           4.5011623122E+01         3.7225074702E+01        3.0940925658E+01
N4        C6           6.6580298991E+01         5.0287580846E+01        3.7393791774E+01
C5        N3           5.1373810609E+01         4.1789961521E+01        3.4074432227E+01
C5        N4           4.5011623122E+01         3.7225074702E+01        3.0940925658E+01
C5        H11          4.2870804861E+01         3.2894889876E+01        2.5752043765E+01
C6        N4           6.6580298991E+01         5.0287580846E+01        3.7393791774E+01
C6        H7           4.0720861469E+01         3.1698271846E+01        2.5304296809E+01
C6        H8           4.2822630538E+01         3.3421621495E+01        2.6701048904E+01
C6        H9           4.4727856396E+01         3.3339127838E+01        2.4488375088E+01
H7        C6           4.0720861469E+01         3.1698271846E+01        2.5304296809E+01
H8        C6           4.2822630538E+01         3.3421621495E+01        2.6701048904E+01
H9        C6           4.4727856396E+01         3.3339127838E+01        2.4488375088E+01
C10       N3           6.7190967419E+01         5.5168644073E+01        4.5645054825E+01
C10       C14          6.2122577410E+01         5.1323215285E+01        4.2886115600E+01
C10       H16          4.1572992416E+01         3.2365312401E+01        2.5931274657E+01
C10       H15          4.6347196472E+01         3.5974781428E+01        2.8151527820E+01
H11       C5           4.2870804861E+01         3.2894889876E+01        2.5752043765E+01
H12       C1           4.8745585248E+01         3.8991916676E+01        3.1385132356E+01
H13       C2           4.1707246269E+01         3.1663449445E+01        2.4701917101E+01
C14       C10          6.2122577410E+01         5.1323215285E+01        4.2886115600E+01
C14       H17          3.7169115440E+01         3.1020756193E+01        2.6281094873E+01
C14       H19          4.8351184709E+01         3.8265189151E+01        3.0701523732E+01
C14       H18          4.1124519912E+01         3.2110163572E+01        2.5862766017E+01
H15       C10          4.6347196472E+01         3.5974781428E+01        2.8151527820E+01
H16       C10          4.1572992416E+01         3.2365312401E+01        2.5931274657E+01
H17       C14          3.7169115440E+01         3.1020756193E+01        2.6281094873E+01
H17       F24          1.6620943062E+01         1.3017177708E+01        1.0206002525E+01
H17       F22          1.2502543666E+01         9.8906665919E+00        7.7218130575E+00
H18       C14          4.1124519912E+01         3.2110163572E+01        2.5862766017E+01
H19       C14          4.8351184709E+01         3.8265189151E+01        3.0701523732E+01
B20       F21          4.8046106047E+01         4.1140839492E+01        3.5651183886E+01
B20       F22          4.5278812870E+01         3.9849697554E+01        3.5479765137E+01
B20       F23          4.9645097844E+01         4.0632244838E+01        3.4134967629E+01
B20       F24          4.5089943155E+01         3.9439140208E+01        3.5046125802E+01
F21       C2           2.8195447615E+01         2.0109557273E+01        1.2413701872E+01
F21       B20          4.8046106047E+01         4.1140839492E+01        3.5651183886E+01
F22       N3           2.4922585774E+01         1.9942195035E+01        1.5590984795E+01
F22       H17          1.2502543666E+01         9.8906665919E+00        7.7218130575E+00
F22       B20          4.5278812873E+01         3.9849697557E+01        3.5479765139E+01
F23       B20          4.9645097844E+01         4.0632244838E+01        3.4134967629E+01
F24       C1           1.5758506057E+01         1.2832012996E+01        1.0260531471E+01
F24       H17          1.6620943062E+01         1.3017177708E+01        1.0206002525E+01
F24       B20          4.5089943155E+01         3.9439140208E+01        3.5046125802E+01
