Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.1888739270E+01         3.5874169624E+01        3.1148417963E+01
C1        N3           5.1687748294E+01         4.5322698766E+01        4.0186562875E+01
C1        H12          4.9203531381E+01         3.9196140278E+01        3.1528842714E+01
C1        F24          1.2272730130E+01         9.6928910604E+00        7.3552230244E+00
C2        C1           4.1888739270E+01         3.5874169624E+01        3.1148417963E+01
C2        N4           4.8678360824E+01         3.7346246640E+01        3.0222612680E+01
C2        H13          4.1514822778E+01         3.1442565393E+01        2.4608856691E+01
C2        F21          2.2347365850E+01         1.3801599806E+01        8.5413931824E+00
N3        C1           5.1687748294E+01         4.5322698766E+01        4.0186562875E+01
N3        C5           5.2850137040E+01         4.2671819121E+01        3.4487908204E+01
N3        C10          7.4068592708E+01         6.0556436249E+01        4.9719877529E+01
N3        F22          3.3319454597E+01         2.6648472353E+01        2.0795684998E+01
N4        C2           4.8678360824E+01         3.7346246640E+01        3.0222612680E+01
N4        C5           4.6670519235E+01         3.8253549137E+01        3.1479998033E+01
N4        C6           6.4389536432E+01         4.7415672824E+01        3.7164803306E+01
C5        N3           5.2850137040E+01         4.2671819121E+01        3.4487908204E+01
C5        N4           4.6670519235E+01         3.8253549137E+01        3.1479998033E+01
C5        H11          4.2503930147E+01         3.2513128128E+01        2.5376562757E+01
C6        N4           6.4389536432E+01         4.7415672824E+01        3.7164803306E+01
C6        H7           4.0663690606E+01         3.1649866917E+01        2.5258490158E+01
C6        H8           4.2830291966E+01         3.3429033361E+01        2.6714155572E+01
C6        H9           4.2630369381E+01         3.0618851028E+01        2.4344988573E+01
H7        C6           4.0663690606E+01         3.1649866917E+01        2.5258490158E+01
H8        C6           4.2830291966E+01         3.3429033361E+01        2.6714155572E+01
H9        C6           4.2630369381E+01         3.0618851028E+01        2.4344988573E+01
C10       N3           7.4068592708E+01         6.0556436249E+01        4.9719877529E+01
C10       H16          4.1670143758E+01         3.2429181662E+01        2.5958461032E+01
C10       C14          6.4476815009E+01         5.3460794760E+01        4.4861901228E+01
C10       H15          4.7561817054E+01         3.7338985243E+01        2.9243166499E+01
H11       C5           4.2503930147E+01         3.2513128128E+01        2.5376562757E+01
H12       C1           4.9203531381E+01         3.9196140278E+01        3.1528842714E+01
H13       C2           4.1514822778E+01         3.1442565393E+01        2.4608856691E+01
C14       C10          6.4476815009E+01         5.3460794760E+01        4.4861901228E+01
C14       H17          3.6526444581E+01         3.1242413273E+01        2.7076906992E+01
C14       H19          4.6515885393E+01         3.6728886505E+01        2.9580967312E+01
C14       H18          4.0982833343E+01         3.1999587473E+01        2.5781149377E+01
H15       C10          4.7561817054E+01         3.7338985243E+01        2.9243166499E+01
H16       C10          4.1670143758E+01         3.2429181662E+01        2.5958461032E+01
H17       C14          3.6526444581E+01         3.1242413273E+01        2.7076906992E+01
H17       F24          2.3731869157E+01         1.8756717484E+01        1.4664724745E+01
H18       C14          4.0982833343E+01         3.1999587473E+01        2.5781149377E+01
H19       C14          4.6515885393E+01         3.6728886505E+01        2.9580967312E+01
B20       F21          4.8741647906E+01         4.1490022542E+01        3.5711492039E+01
B20       F22          5.1642939552E+01         4.4652557451E+01        3.8877302614E+01
B20       F23          4.9625985488E+01         4.0596081323E+01        3.4077125761E+01
B20       F24          5.1683102890E+01         4.4391401044E+01        3.8464887529E+01
F21       C2           2.2347365850E+01         1.3801599806E+01        8.5413931824E+00
F21       B20          4.8741647877E+01         4.1490022513E+01        3.5711492012E+01
F22       N3           3.3319454597E+01         2.6648472353E+01        2.0795684998E+01
F22       B20          5.1642939552E+01         4.4652557451E+01        3.8877302614E+01
F23       B20          4.9625985488E+01         4.0596081323E+01        3.4077125761E+01
F24       C1           1.2272730130E+01         9.6928910604E+00        7.3552230244E+00
F24       H17          2.3731869157E+01         1.8756717484E+01        1.4664724745E+01
F24       B20          5.1683102890E+01         4.4391401044E+01        3.8464887529E+01
