Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.3661107127E+01         3.4997785007E+01        2.9279822467E+01
C1        N3           5.5754693735E+01         4.1391581884E+01        3.3570064064E+01
C1        H12          4.2894386407E+01         3.3281359611E+01        2.6192274994E+01
C2        C1           4.3661107127E+01         3.4997785007E+01        2.9279822467E+01
C2        N4           4.4059896917E+01         3.5643516524E+01        2.9405637990E+01
C2        H13          4.0021713384E+01         3.0765261478E+01        2.4295683543E+01
N3        C1           5.5754693735E+01         4.1391581884E+01        3.3570064064E+01
N3        C5           4.5114930970E+01         3.6448450853E+01        3.0221554934E+01
N3        C10          7.9032690844E+01         5.7716721174E+01        4.5137416796E+01
N4        C2           4.4059896917E+01         3.5643516524E+01        2.9405637990E+01
N4        C5           4.3582181106E+01         3.5697733768E+01        2.9778384087E+01
N4        C6           6.0062679333E+01         4.6780868877E+01        3.6969883547E+01
C5        N3           4.5114930970E+01         3.6448450853E+01        3.0221554934E+01
C5        N4           4.3582181106E+01         3.5697733768E+01        2.9778384087E+01
C5        H11          4.2315910225E+01         3.2607961263E+01        2.5561847605E+01
C6        N4           6.0062679333E+01         4.6780868877E+01        3.6969883547E+01
C6        H7           4.0186294539E+01         3.1298186010E+01        2.5016480697E+01
C6        H8           4.2522913409E+01         3.3243602883E+01        2.6595593249E+01
C6        H9           3.8755467444E+01         3.0232844721E+01        2.4298935668E+01
H7        C6           4.0186294539E+01         3.1298186010E+01        2.5016480697E+01
H8        C6           4.2522913409E+01         3.3243602883E+01        2.6595593249E+01
H9        C6           3.8755467444E+01         3.0232844721E+01        2.4298935668E+01
C10       N3           7.9032690844E+01         5.7716721174E+01        4.5137416796E+01
C10       H16          4.1955441049E+01         3.2617519998E+01        2.5929018422E+01
C10       C14          7.3206097373E+01         5.3142479826E+01        4.1665751558E+01
C10       H15          4.4976345297E+01         3.5120825326E+01        2.7961253090E+01
H11       C5           4.2315910225E+01         3.2607961263E+01        2.5561847605E+01
H12       C1           4.2894386407E+01         3.3281359611E+01        2.6192274994E+01
H13       C2           4.0021713384E+01         3.0765261478E+01        2.4295683543E+01
C14       C10          7.3206097373E+01         5.3142479826E+01        4.1665751558E+01
C14       H17          5.0673710867E+01         3.4311184539E+01        2.6390515621E+01
C14       H18          4.0586057119E+01         3.1720281625E+01        2.5563323454E+01
C14       H19          4.8260228745E+01         3.7121354425E+01        2.9231424892E+01
H15       C10          4.4976345297E+01         3.5120825326E+01        2.7961253090E+01
H16       C10          4.1955441049E+01         3.2617519998E+01        2.5929018422E+01
H17       F21          3.0579399493E+01         1.6408748864E+01        1.0155960206E+01
H17       C14          5.0673710867E+01         3.4311184539E+01        2.6390515621E+01
H18       C14          4.0586057119E+01         3.1720281625E+01        2.5563323454E+01
H19       C14          4.8260228745E+01         3.7121354425E+01        2.9231424892E+01
B20       F21          5.1153675996E+01         4.1473999190E+01        3.4614924176E+01
B20       F22          5.0753459644E+01         4.1364661608E+01        3.4663875681E+01
B20       F23          5.0758560537E+01         4.1343752786E+01        3.4617373771E+01
B20       F24          5.0693378415E+01         4.1330991216E+01        3.4618692246E+01
F21       H17          3.0579399493E+01         1.6408748864E+01        1.0155960206E+01
F21       B20          5.1153675996E+01         4.1473999190E+01        3.4614924176E+01
F22       B20          5.0753459644E+01         4.1364661608E+01        3.4663875681E+01
F23       B20          5.0758560537E+01         4.1343752786E+01        3.4617373771E+01
F24       B20          5.0693378415E+01         4.1330991216E+01        3.4618692246E+01
