Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N3        C1           4.6650637777E+01         4.0592281966E+01        3.5744177891E+01
N3        C5           4.9628608509E+01         4.1884605485E+01        3.5844645439E+01
N3        C10          6.6923814929E+01         5.4226138870E+01        4.4320443726E+01
N4        C2           4.1836111231E+01         3.4704064902E+01        2.9268898910E+01
N4        C5           5.6829920270E+01         4.6362808420E+01        3.8079499022E+01
N4        C6           6.5644244919E+01         5.0478276711E+01        3.9033413557E+01
C6        N4           6.5644244919E+01         5.0478276711E+01        3.9033413557E+01
C6        H7           4.1559711048E+01         3.2340941264E+01        2.5798589202E+01
C6        H8           4.2668903151E+01         3.3250792990E+01        2.6544907654E+01
C6        H9           4.3355262205E+01         3.3228560227E+01        2.5890109720E+01
H7        C6           4.1559711048E+01         3.2340941264E+01        2.5798589202E+01
H8        C6           4.2668903151E+01         3.3250792990E+01        2.6544907654E+01
H9        C6           4.3355262205E+01         3.3228560227E+01        2.5890109720E+01
C10       N3           6.6923814929E+01         5.4226138870E+01        4.4320443726E+01
C10       C14          7.1524912805E+01         5.6455706495E+01        4.4921406793E+01
C10       H16          4.5809322850E+01         3.5749549269E+01        2.8483488235E+01
C10       H15          4.2194704332E+01         3.3957273130E+01        2.7727120412E+01
H11       C5           4.3264443413E+01         3.3171046488E+01        2.5934703831E+01
H12       C1           4.8506186814E+01         3.9406358355E+01        3.2206957129E+01
H13       C2           4.3311290582E+01         3.3335319371E+01        2.6193307802E+01
C14       C10          7.1524912805E+01         5.6455706495E+01        4.4921406793E+01
C14       H17          5.0347422672E+01         4.0026954375E+01        3.2092133201E+01
C14       H18          4.0970310496E+01         3.1954394005E+01        2.5733975941E+01
C14       H19          4.4167076140E+01         3.4280698048E+01        2.7229763183E+01
H15       C10          4.2194704332E+01         3.3957273130E+01        2.7727120412E+01
H15       F24          2.3064225798E+01         1.7771912090E+01        1.3564417787E+01
H16       C10          4.5809322850E+01         3.5749549269E+01        2.8483488235E+01
H17       C14          5.0347422672E+01         4.0026954375E+01        3.2092133201E+01
H18       C14          4.0970310496E+01         3.1954394005E+01        2.5733975941E+01
H19       C14          4.4167076140E+01         3.4280698048E+01        2.7229763183E+01
B20       F21          4.2794523139E+01         3.6841322755E+01        3.2329271104E+01
B20       F22          4.2652283702E+01         3.6874444595E+01        3.2453714895E+01
B20       F23          5.0534204077E+01         4.1484289192E+01        3.4918064557E+01
B20       F24          4.2622935136E+01         3.6800839663E+01        3.2317874155E+01
F21       C2           2.6732673530E+01         2.1462734740E+01        1.7474298505E+01
F21       B20          4.2794523143E+01         3.6841322761E+01        3.2329271122E+01
F23       B20          5.0534204077E+01         4.1484289192E+01        3.4918064557E+01
F24       H15          2.3064225798E+01         1.7771912090E+01        1.3564417787E+01
F24       C1           1.8152934901E+01         1.6519417699E+01        1.5051404357E+01
F24       B20          4.2622935136E+01         3.6800839663E+01        3.2317874155E+01
