Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           5.1572178295E+01         4.2548499624E+01        3.5265416595E+01
C1        N3           4.9247701370E+01         4.1118727426E+01        3.4000292103E+01
C1        H12          4.1831724908E+01         3.1830674565E+01        2.5005912941E+01
C2        C1           5.1572178295E+01         4.2548499624E+01        3.5265416595E+01
C2        N4           6.0646005270E+01         4.7188353109E+01        3.5891564587E+01
C2        F21          3.9217341696E+01         2.7328207151E+01        1.6808611702E+01
C2        H13          4.0516465000E+01         3.1143385696E+01        2.4601329900E+01
N3        C1           4.9247701370E+01         4.1118727426E+01        3.4000292103E+01
N3        C5           4.5993511940E+01         3.8011978846E+01        3.1222748585E+01
N3        C10          7.0719418757E+01         5.6377801190E+01        4.4235353572E+01
N4        C2           6.0646005270E+01         4.7188353109E+01        3.5891564587E+01
N4        C5           4.6594560096E+01         3.8354193734E+01        3.1475180523E+01
N4        C6           6.5542809717E+01         4.9316269832E+01        3.7267119262E+01
C5        N3           4.5993511940E+01         3.8011978846E+01        3.1222748585E+01
C5        N4           4.6594560096E+01         3.8354193734E+01        3.1475180523E+01
C5        H11          4.3023753512E+01         3.2660580951E+01        2.5187277129E+01
C6        N4           6.5542809717E+01         4.9316269832E+01        3.7267119262E+01
C6        H7           4.1001473093E+01         3.1939309571E+01        2.5498886610E+01
C6        H8           4.2493232697E+01         3.3174503610E+01        2.6507766993E+01
C6        H9           4.3367615415E+01         3.2184027163E+01        2.4273330976E+01
H7        C6           4.1001473093E+01         3.1939309571E+01        2.5498886610E+01
H8        C6           4.2493232697E+01         3.3174503610E+01        2.6507766993E+01
H9        C6           4.3367615415E+01         3.2184027163E+01        2.4273330976E+01
C10       N3           7.0719418757E+01         5.6377801190E+01        4.4235353572E+01
C10       C14          6.4076331057E+01         5.1241461756E+01        4.0489062819E+01
C10       H15          4.3845199748E+01         3.4115017662E+01        2.7057118722E+01
C10       H16          4.4007625030E+01         3.4310580382E+01        2.7270690082E+01
H11       C5           4.3023753512E+01         3.2660580951E+01        2.5187277129E+01
H12       C1           4.1831724908E+01         3.1830674565E+01        2.5005912941E+01
H13       C2           4.0516465000E+01         3.1143385696E+01        2.4601329900E+01
C14       C10          6.4076331057E+01         5.1241461756E+01        4.0489062819E+01
C14       H17          5.1728279654E+01         3.8822001549E+01        2.8838725750E+01
C14       H19          5.3323172457E+01         4.0446868577E+01        3.0055082601E+01
C14       H18          4.1017340686E+01         3.2007434100E+01        2.5782718661E+01
H15       C10          4.3845199748E+01         3.4115017662E+01        2.7057118722E+01
H16       C10          4.4007625030E+01         3.4310580382E+01        2.7270690082E+01
H17       C14          5.1728279654E+01         3.8822001549E+01        2.8838725750E+01
H18       C14          4.1017340686E+01         3.2007434100E+01        2.5782718661E+01
H19       C14          5.3323172478E+01         4.0446868602E+01        3.0055082611E+01
H19       F24          3.8355903927E+01         2.6891265769E+01        1.7547805200E+01
B20       F21          6.7591388377E+01         5.2353366104E+01        4.1015880765E+01
B20       F22          5.5333685714E+01         4.3044076877E+01        3.4750307512E+01
B20       F23          5.0132339620E+01         4.0937380230E+01        3.4349906461E+01
B20       F24          6.7332986642E+01         5.2522088768E+01        4.1107875963E+01
F21       C2           3.9217341696E+01         2.7328207151E+01        1.6808611702E+01
F21       B20          6.7591388370E+01         5.2353366102E+01        4.1015880765E+01
F22       B20          5.5333685714E+01         4.3044076877E+01        3.4750307512E+01
F23       B20          5.0132339620E+01         4.0937380230E+01        3.4349906461E+01
F24       H19          3.8355903927E+01         2.6891265769E+01        1.7547805200E+01
F24       B20          6.7332986641E+01         5.2522088767E+01        4.1107875963E+01
