Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           5.1105574425E+01         3.9146570068E+01        3.0485132369E+01
C1        N3           5.0081599497E+01         4.1504012075E+01        3.3399783091E+01
C1        F21          2.1457125461E+01         1.2410511150E+01        4.3605860680E+00
C1        H12          4.2532799625E+01         3.2866757643E+01        2.5743774935E+01
C2        C1           5.1105574425E+01         3.9146570068E+01        3.0485132369E+01
C2        N4           4.6880501997E+01         3.6430356031E+01        2.9517557273E+01
C2        H13          4.0188789005E+01         3.0885882194E+01        2.4378408279E+01
N3        C1           5.0081599497E+01         4.1504012075E+01        3.3399783091E+01
N3        C5           4.6492760779E+01         3.6892944758E+01        3.0192092241E+01
N3        C10          7.2311326927E+01         5.7539585071E+01        4.4978744574E+01
N4        C2           4.6880501997E+01         3.6430356031E+01        2.9517557273E+01
N4        C5           4.3655683917E+01         3.5891996595E+01        2.9807552444E+01
N4        C6           6.0249595295E+01         4.6848774765E+01        3.7000072432E+01
C5        N3           4.6492760779E+01         3.6892944758E+01        3.0192092241E+01
C5        N4           4.3655683917E+01         3.5891996595E+01        2.9807552444E+01
C5        H11          4.2419923051E+01         3.2583465447E+01        2.5490653212E+01
C6        N4           6.0249595295E+01         4.6848774765E+01        3.7000072432E+01
C6        H7           4.0442826838E+01         3.1497105353E+01        2.5157566226E+01
C6        H8           4.2579104497E+01         3.3282936033E+01        2.6611247403E+01
C6        H9           3.8752956552E+01         3.0172113733E+01        2.4255787070E+01
H7        C6           4.0442826838E+01         3.1497105353E+01        2.5157566226E+01
H8        C6           4.2579104497E+01         3.3282936033E+01        2.6611247403E+01
H9        C6           3.8752956552E+01         3.0172113733E+01        2.4255787070E+01
C10       N3           7.2311326927E+01         5.7539585071E+01        4.4978744574E+01
C10       H16          4.2535710158E+01         3.3095030017E+01        2.6287137441E+01
C10       C14          6.6057882392E+01         5.2687842360E+01        4.1356616757E+01
C10       H15          4.4818262858E+01         3.4940536005E+01        2.7777618343E+01
H11       C5           4.2419923051E+01         3.2583465447E+01        2.5490653212E+01
H12       C1           4.2532799625E+01         3.2866757643E+01        2.5743774935E+01
H13       C2           4.0188789005E+01         3.0885882194E+01        2.4378408279E+01
C14       C10          6.6057882392E+01         5.2687842360E+01        4.1356616757E+01
C14       H17          5.2590818205E+01         4.0276694378E+01        2.9975254783E+01
C14       H18          4.0772341574E+01         3.1813704739E+01        2.5630120425E+01
C14       H19          5.1134331018E+01         3.9826507439E+01        3.0472289759E+01
H15       C10          4.4818262858E+01         3.4940536005E+01        2.7777618343E+01
H16       C10          4.2535710158E+01         3.3095030017E+01        2.6287137441E+01
H17       F21          2.1279358502E+01         1.5806658442E+01        9.8255535368E+00
H17       C14          5.2590818235E+01         4.0276694404E+01        2.9975254787E+01
H17       F23          1.3013906370E+01         7.5063550700E+00        3.5613502374E+00
H18       C14          4.0772341574E+01         3.1813704739E+01        2.5630120425E+01
H19       C14          5.1134331018E+01         3.9826507439E+01        3.0472289759E+01
B20       F21          5.0179577839E+01         4.1806048843E+01        3.5325845682E+01
B20       F22          5.0700080858E+01         4.1274474628E+01        3.4582203114E+01
B20       F23          4.9850353442E+01         4.1717803659E+01        3.5380940189E+01
B20       F24          5.0454042416E+01         4.1157984084E+01        3.4499193028E+01
F21       C1           2.1457125461E+01         1.2410511150E+01        4.3605860680E+00
F21       H17          2.1279358502E+01         1.5806658442E+01        9.8255535368E+00
F21       B20          5.0179577840E+01         4.1806048843E+01        3.5325845682E+01
F22       B20          5.0700080858E+01         4.1274474628E+01        3.4582203114E+01
F23       H17          1.3013906370E+01         7.5063550700E+00        3.5613502374E+00
F23       B20          4.9850353442E+01         4.1717803659E+01        3.5380940189E+01
F24       B20          5.0454042416E+01         4.1157984084E+01        3.4499193028E+01
