Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.4590428457E+01         3.7702815912E+01        3.2601345207E+01
C1        N3           4.3867824210E+01         3.7677605215E+01        3.2609423290E+01
C1        H12          4.4457804250E+01         3.4641013641E+01        2.6957209021E+01
C1        F24          1.7708277390E+01         1.3376313370E+01        9.8800845577E+00
N3        C1           4.3867824210E+01         3.7677605215E+01        3.2609423290E+01
N3        C5           4.6886568849E+01         3.9733256565E+01        3.4039355693E+01
N3        C10          6.4949544071E+01         5.3247617810E+01        4.3912560021E+01
C6        N4           6.5864685741E+01         5.0164561012E+01        3.8074188286E+01
C6        H7           4.1136168367E+01         3.2040080062E+01        2.5553411883E+01
C6        H8           4.2611441654E+01         3.3250686461E+01        2.6556902370E+01
C6        H9           4.3618830419E+01         3.2938022564E+01        2.4984454490E+01
H7        C6           4.1136168367E+01         3.2040080062E+01        2.5553411883E+01
H8        C6           4.2611441654E+01         3.3250686461E+01        2.6556902370E+01
H9        C6           4.3618830419E+01         3.2938022564E+01        2.4984454490E+01
C10       N3           6.4949544071E+01         5.3247617810E+01        4.3912560020E+01
C10       C14          5.8515191023E+01         4.8267223689E+01        4.0221885238E+01
C10       H15          4.5054323737E+01         3.5075361777E+01        2.7854883822E+01
C10       H16          4.3133028203E+01         3.3548860209E+01        2.6623105585E+01
H11       C5           4.2744973872E+01         3.2667707328E+01        2.5498411952E+01
H12       C1           4.4457804250E+01         3.4641013641E+01        2.6957209021E+01
H13       C2           4.0743430556E+01         3.1295731276E+01        2.4725328719E+01
C14       C10          5.8515191023E+01         4.8267223689E+01        4.0221885238E+01
C14       H17          4.2700458401E+01         3.5333356423E+01        2.9719602668E+01
C14       H18          4.1239192968E+01         3.2167243415E+01        2.5886974912E+01
C14       H19          4.1451553869E+01         3.4899337538E+01        2.9666924001E+01
H15       C10          4.5054323737E+01         3.5075361777E+01        2.7854883822E+01
H16       C10          4.3133028203E+01         3.3548860209E+01        2.6623105585E+01
H17       C14          4.2700458401E+01         3.5333356423E+01        2.9719602668E+01
H17       F23          1.6434005598E+01         1.2122944081E+01        8.7793153995E+00
H17       F22          9.3718899489E+00         7.7757640990E+00        6.2724194305E+00
H18       C14          4.1239192968E+01         3.2167243415E+01        2.5886974912E+01
H19       C14          4.1451553869E+01         3.4899337538E+01        2.9666924001E+01
H19       F24          1.5755675364E+01         1.3117226918E+01        1.0843604418E+01
B20       F21          4.9995360546E+01         4.0845108662E+01        3.4278672101E+01
B20       F22          4.5977487079E+01         4.0258772335E+01        3.5789211967E+01
B20       F23          4.7614900629E+01         4.0708150594E+01        3.5396066614E+01
B20       F24          4.6387194169E+01         4.0573177904E+01        3.6012561732E+01
F21       B20          4.9995360546E+01         4.0845108662E+01        3.4278672101E+01
F23       H17          1.6434005598E+01         1.2122944081E+01        8.7793153995E+00
F23       B20          4.7614900628E+01         4.0708150593E+01        3.5396066612E+01
F24       C1           1.7708277390E+01         1.3376313370E+01        9.8800845577E+00
F24       H19          1.5755675364E+01         1.3117226918E+01        1.0843604418E+01
F24       B20          4.6387194169E+01         4.0573177904E+01        3.6012561732E+01
