Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.4884840003E+01         3.8261869539E+01        3.3450380073E+01
C1        N3           5.2761404656E+01         4.6222424469E+01        4.1223658372E+01
C1        F24          1.7177472459E+01         1.5412417810E+01        1.3825437563E+01
C1        H12          4.8488644059E+01         3.9339798635E+01        3.2215087230E+01
C2        C1           4.4490408240E+01         3.7946863426E+01        3.3163685556E+01
C2        N4           4.4329672326E+01         3.6564290757E+01        3.0868739665E+01
C2        H13          4.2572536702E+01         3.2414734042E+01        2.5216984979E+01
C2        F21          2.1266800389E+01         1.6039020308E+01        1.2053223479E+01
N4        C2           4.4329442417E+01         3.6564386378E+01        3.0868858450E+01
N4        C5           5.5284082776E+01         4.4513809078E+01        3.6276750780E+01
N4        C6           6.4600645902E+01         4.8954500259E+01        3.7575149417E+01
C6        N4           6.4600645902E+01         4.8954500259E+01        3.7575149417E+01
C6        H7           4.1163552549E+01         3.2034749452E+01        2.5550013983E+01
C6        H8           4.2808515827E+01         3.3380030456E+01        2.6647383284E+01
C6        H9           4.2453708070E+01         3.1849252965E+01        2.4611844067E+01
H7        C6           4.1163552549E+01         3.2034749452E+01        2.5550013983E+01
H8        C6           4.2808515827E+01         3.3380030456E+01        2.6647383284E+01
H9        C6           4.2453708070E+01         3.1849252965E+01        2.4611844067E+01
C10       N3           7.0778916266E+01         5.7470205674E+01        4.7043189665E+01
C10       C14          6.5546666039E+01         5.3125677788E+01        4.3627616990E+01
C10       H16          4.4683500766E+01         3.4794033355E+01        2.7658025165E+01
C10       H15          4.0927759780E+01         3.3808541670E+01        2.8385246390E+01
H11       C5           4.2820889767E+01         3.2710255649E+01        2.5476935999E+01
H12       C1           4.8488644059E+01         3.9339798635E+01        3.2215087230E+01
H13       C2           4.2572536702E+01         3.2414734042E+01        2.5216984979E+01
C14       C10          6.5546666039E+01         5.3125677788E+01        4.3627616990E+01
C14       H19          4.4381098204E+01         3.4544329947E+01        2.7434282679E+01
C14       H17          4.3012916168E+01         3.5567635348E+01        2.9861835405E+01
C14       H18          4.0899413083E+01         3.1914300631E+01        2.5701655481E+01
H15       C10          4.0927759778E+01         3.3808541669E+01        2.8385246389E+01
H15       F24          1.4519946084E+01         1.2070090802E+01        1.0004119127E+01
H16       C10          4.4683500766E+01         3.4794033355E+01        2.7658025165E+01
H17       C14          4.3012916185E+01         3.5567635363E+01        2.9861835416E+01
H17       F24          9.3659132822E+00         6.6362049436E+00        4.4649462638E+00
H18       C14          4.0899413083E+01         3.1914300631E+01        2.5701655481E+01
H19       C14          4.4381098204E+01         3.4544329947E+01        2.7434282679E+01
B20       F21          4.6180045831E+01         3.9450096152E+01        3.4357152101E+01
B20       F22          4.4521857282E+01         3.8811365535E+01        3.4399243582E+01
B20       F23          4.9715537722E+01         4.0699908029E+01        3.4182876746E+01
B20       F24          4.4878181948E+01         3.9013291565E+01        3.4445013769E+01
F21       C2           2.1266800389E+01         1.6039020308E+01        1.2053223479E+01
F21       B20          4.6180045832E+01         3.9450096152E+01        3.4357152101E+01
F23       B20          4.9715537722E+01         4.0699908029E+01        3.4182876746E+01
F24       C1           1.6137348156E+01         1.4395344856E+01        1.2828048217E+01
F24       H15          1.4519946084E+01         1.2070090802E+01        1.0004119127E+01
F24       H17          9.3659132822E+00         6.6362049436E+00        4.4649462638E+00
F24       B20          4.4878181948E+01         3.9013291565E+01        3.4445013769E+01
