Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N4        C2           4.2718469127E+01         3.5498402438E+01        2.9987796723E+01
N4        C5           5.6754459995E+01         4.6141007664E+01        3.7721628775E+01
N4        C6           6.5363157550E+01         5.0045974202E+01        3.8482874272E+01
C6        N4           6.5363157550E+01         5.0045974202E+01        3.8482874272E+01
C6        H7           4.1535285006E+01         3.2337252364E+01        2.5787254235E+01
C6        H8           4.2645422089E+01         3.3242880707E+01        2.6532270862E+01
C6        H9           4.3091414053E+01         3.2790430198E+01        2.5365250634E+01
H7        C6           4.1535285006E+01         3.2337252364E+01        2.5787254235E+01
H8        C6           4.2645422089E+01         3.3242880707E+01        2.6532270862E+01
H9        C6           4.3091414053E+01         3.2790430198E+01        2.5365250634E+01
C10       N3           6.7696724132E+01         5.4556943550E+01        4.4301242656E+01
C10       C14          6.8835788224E+01         5.3732171010E+01        4.2360616692E+01
C10       H15          3.6865557883E+01         2.9973999257E+01        2.4853061435E+01
C10       H16          4.5821470944E+01         3.5735215282E+01        2.8450880676E+01
H11       C5           4.3199171392E+01         3.3137316151E+01        2.5899027715E+01
H12       C1           4.9070788497E+01         3.8964056910E+01        3.1017832513E+01
H13       C2           4.3007077324E+01         3.2967301751E+01        2.5778484025E+01
C14       C10          6.8835788224E+01         5.3732171010E+01        4.2360616692E+01
C14       H17          4.9225662583E+01         3.8596122649E+01        3.0608287882E+01
C14       H18          4.0892646754E+01         3.1903730279E+01        2.5687464741E+01
C14       H19          4.3575625013E+01         3.3776785106E+01        2.6882606964E+01
H15       C10          3.6865557883E+01         2.9973999257E+01        2.4853061435E+01
H15       F24          2.0567295495E+01         1.5838211068E+01        1.2221447882E+01
H16       C10          4.5821470944E+01         3.5735215282E+01        2.8450880676E+01
H17       C14          4.9225662583E+01         3.8596122649E+01        3.0608287882E+01
H18       C14          4.0892646754E+01         3.1903730279E+01        2.5687464741E+01
H19       C14          4.3575625013E+01         3.3776785106E+01        2.6882606964E+01
B20       F21          4.4237171097E+01         3.8023112491E+01        3.3276443460E+01
B20       F22          4.3885945521E+01         3.7879897139E+01        3.3276893591E+01
B20       F23          5.0013390321E+01         4.0999445685E+01        3.4468024124E+01
B20       F24          4.4018062960E+01         3.7891791120E+01        3.3190649569E+01
F21       C2           2.4738054175E+01         1.9460273918E+01        1.5437864551E+01
F21       B20          4.4237171097E+01         3.8023112491E+01        3.3276443460E+01
F23       B20          5.0013390321E+01         4.0999445685E+01        3.4468024124E+01
F24       H15          2.0567295495E+01         1.5838211068E+01        1.2221447882E+01
F24       C1           1.6988803637E+01         1.4730394200E+01        1.2760517485E+01
F24       B20          4.4018062959E+01         3.7891791119E+01        3.3190649569E+01
