Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        F22          1.3846746427E+01         1.3717360627E+01        1.3621914400E+01
C1        C2           4.5875911912E+01         3.9483788408E+01        3.4665393460E+01
C1        N3           4.8120842259E+01         4.2018093619E+01        3.7151652317E+01
C1        F24          1.8271702649E+01         1.6653771246E+01        1.5190477274E+01
C1        H12          4.8640132559E+01         3.9512962323E+01        3.2315141314E+01
C2        C1           4.5332610367E+01         3.9013688685E+01        3.4224507933E+01
C2        N4           4.2051915433E+01         3.4910101649E+01        2.9437756598E+01
C2        H13          4.3198173151E+01         3.3170474573E+01        2.6000641324E+01
C2        F21          2.5527351698E+01         2.0251538229E+01        1.6268162686E+01
N3        C1           4.8121163999E+01         4.2018395862E+01        3.7151925709E+01
N3        C5           4.9817165529E+01         4.2155377639E+01        3.6157056660E+01
N3        C10          6.7381040870E+01         5.4709156182E+01        4.4793562198E+01
N4        C2           4.2274112628E+01         3.5107097249E+01        2.9609596862E+01
N4        C5           5.6871801375E+01         4.6325351626E+01        3.7957698456E+01
N4        C6           6.5475073762E+01         5.0240944851E+01        3.8722113719E+01
C6        N4           6.5475073762E+01         5.0240944851E+01        3.8722113719E+01
C6        H7           4.1556361606E+01         3.2348121622E+01        2.5798541896E+01
C6        H8           4.2667348654E+01         3.3249923089E+01        2.6534310114E+01
C6        H9           4.3177187914E+01         3.2977969219E+01        2.5602126219E+01
H7        C6           4.1556361606E+01         3.2348121622E+01        2.5798541896E+01
H8        C6           4.2667348654E+01         3.3249923089E+01        2.6534310114E+01
H9        C6           4.3177187914E+01         3.2977969219E+01        2.5602126219E+01
C10       N3           6.7181627146E+01         5.4506751021E+01        4.4590700316E+01
C10       C14          7.2040903038E+01         5.6972950715E+01        4.5430585428E+01
C10       H16          4.5574069405E+01         3.5530795655E+01        2.8280480864E+01
C10       H15          4.2994456698E+01         3.4632553157E+01        2.8271535130E+01
H11       C5           4.3124891874E+01         3.3026626695E+01        2.5787225619E+01
H12       C1           4.8640132559E+01         3.9512962323E+01        3.2315141314E+01
H13       C2           4.3198173151E+01         3.3170474573E+01        2.6000641324E+01
C14       C10          7.2040903038E+01         5.6972950715E+01        4.5430585428E+01
C14       H17          5.0795722141E+01         4.0442952690E+01        3.2504096941E+01
C14       H18          4.0953343818E+01         3.1947569262E+01        2.5723359382E+01
C14       H19          4.4186627928E+01         3.4318675247E+01        2.7250537400E+01
H15       C10          4.2994456698E+01         3.4632553157E+01        2.8271535130E+01
H15       F24          2.3757279674E+01         1.8340021968E+01        1.4004487589E+01
H16       C10          4.5574069405E+01         3.5530795655E+01        2.8280480864E+01
H17       C14          5.0795722141E+01         4.0442952690E+01        3.2504096941E+01
H18       C14          4.0953343818E+01         3.1947569262E+01        2.5723359382E+01
H19       C14          4.4186627928E+01         3.4318675247E+01        2.7250537400E+01
B20       F21          4.3463248810E+01         3.7364055225E+01        3.2744895096E+01
B20       F22          4.3243356467E+01         3.7355158934E+01        3.2820521648E+01
B20       F23          5.0197431150E+01         4.1162830287E+01        3.4622372071E+01
B20       F24          4.3263776203E+01         3.7298042599E+01        3.2708529746E+01
F21       C2           2.5527351698E+01         2.0251538229E+01        1.6268162686E+01
F21       B20          4.3463248810E+01         3.7364055225E+01        3.2744895096E+01
F23       B20          5.0197431150E+01         4.1162830287E+01        3.4622372071E+01
F24       C1           1.7300793930E+01         1.5708674055E+01        1.4257891614E+01
F24       H15          2.3757279674E+01         1.8340021968E+01        1.4004487589E+01
F24       B20          4.3263776200E+01         3.7298042597E+01        3.2708529744E+01
