Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N3        C1           4.3573299373E+01         3.7431312251E+01        3.2433394588E+01
N3        C5           4.6925390296E+01         3.9805391521E+01        3.4155098888E+01
N3        C10          6.4660646066E+01         5.3017208994E+01        4.3756342262E+01
C5        N3           4.6925390296E+01         3.9805391521E+01        3.4155098888E+01
C5        N4           5.2368159347E+01         4.3840498662E+01        3.7093911441E+01
C5        H11          4.2793648519E+01         3.2703048953E+01        2.5534816912E+01
C6        N4           6.5969609300E+01         5.0356014099E+01        3.8319200161E+01
C6        H7           4.1129258270E+01         3.2014047651E+01        2.5548031164E+01
C6        H8           4.2657416819E+01         3.3274867156E+01        2.6572173543E+01
C6        H9           4.3715075478E+01         3.3108887803E+01        2.5212656250E+01
H7        C6           4.1129258270E+01         3.2014047651E+01        2.5548031164E+01
H8        C6           4.2657416819E+01         3.3274867156E+01        2.6572173543E+01
H9        C6           4.3715075478E+01         3.3108887803E+01        2.5212656250E+01
C10       N3           6.4660646066E+01         5.3017208994E+01        4.3756342262E+01
C10       C14          5.8235385950E+01         4.8052124164E+01        4.0063583851E+01
C10       H15          4.5124915659E+01         3.5127927319E+01        2.7903795789E+01
C10       H16          4.3095684928E+01         3.3516756630E+01        2.6600345580E+01
H11       C5           4.2793648519E+01         3.2703048953E+01        2.5534816912E+01
H12       C1           4.4547069227E+01         3.4813636820E+01        2.7215086549E+01
H13       C2           4.0760196350E+01         3.1309736911E+01        2.4731143347E+01
C14       C10          5.8235385950E+01         4.8052124164E+01        4.0063583851E+01
C14       H17          4.2314141416E+01         3.5021416433E+01        2.9459392467E+01
C14       H18          4.1262898333E+01         3.2175448186E+01        2.5890625775E+01
C14       H19          4.1380546452E+01         3.4811654264E+01        2.9579086617E+01
H15       C10          4.5124915659E+01         3.5127927319E+01        2.7903795789E+01
H16       C10          4.3095684928E+01         3.3516756630E+01        2.6600345580E+01
H17       C14          4.2314141416E+01         3.5021416433E+01        2.9459392467E+01
H17       F23          1.7036931932E+01         1.2704861216E+01        9.3384516801E+00
H17       F22          8.7001504489E+00         7.1763950685E+00        5.7429279125E+00
H18       C14          4.1262898333E+01         3.2175448186E+01        2.5890625775E+01
H19       C14          4.1380546452E+01         3.4811654264E+01        2.9579086617E+01
H19       F24          1.5586513911E+01         1.2990823271E+01        1.0763699741E+01
B20       F21          5.0013024029E+01         4.0851770104E+01        3.4277919348E+01
B20       F22          4.5830899071E+01         4.0125336931E+01        3.5688556664E+01
B20       F23          4.7527041315E+01         4.0648412075E+01        3.5352321320E+01
B20       F24          4.5975547977E+01         4.0288392567E+01        3.5789942745E+01
F21       B20          5.0013024029E+01         4.0851770104E+01        3.4277919348E+01
F23       H17          1.7036931932E+01         1.2704861216E+01        9.3384516801E+00
F23       B20          4.7527041315E+01         4.0648412075E+01        3.5352321320E+01
F24       C1           1.8603244615E+01         1.4254747310E+01        1.0775948223E+01
F24       H19          1.5586513911E+01         1.2990823271E+01        1.0763699741E+01
F24       B20          4.5975547977E+01         4.0288392567E+01        3.5789942745E+01
