Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N3        C1           4.8757417121E+01         4.1872174387E+01        3.4986302325E+01
N3        C5           4.5001319346E+01         3.7313939943E+01        3.0946862580E+01
N3        C10          6.8651881175E+01         5.5774105868E+01        4.4242293988E+01
C6        N4           6.4730639370E+01         4.8527082542E+01        3.7202661872E+01
C6        H7           4.1066717898E+01         3.2004360720E+01        2.5539488520E+01
C6        H8           4.2506335046E+01         3.3181160669E+01        2.6505122722E+01
C6        H9           4.2595205017E+01         3.1417546963E+01        2.4232433993E+01
H7        C6           4.1066717898E+01         3.2004360720E+01        2.5539488520E+01
H8        C6           4.2506335046E+01         3.3181160669E+01        2.6505122722E+01
H9        C6           4.2595205017E+01         3.1417546963E+01        2.4232433993E+01
C10       N3           6.8651881175E+01         5.5774105868E+01        4.4242293988E+01
C10       C14          6.2006763412E+01         5.0651616960E+01        4.0476568933E+01
C10       H15          4.4448344870E+01         3.4603855182E+01        2.7462971346E+01
C10       H16          4.3527182239E+01         3.3907715933E+01        2.6925225675E+01
H11       C5           4.2769395879E+01         3.2536132205E+01        2.5271680269E+01
H12       C1           4.2948473635E+01         3.2383360765E+01        2.5028833183E+01
H13       C2           4.0528356860E+01         3.1165605524E+01        2.4622159028E+01
C14       C10          6.2006763412E+01         5.0651616960E+01        4.0476568933E+01
C14       H17          4.4840911629E+01         3.7261984827E+01        3.0667920240E+01
C14       H19          4.1808604124E+01         3.5322104345E+01        2.8538995992E+01
C14       H18          4.1085009677E+01         3.2060466631E+01        2.5811686059E+01
H15       C10          4.4448344870E+01         3.4603855182E+01        2.7462971346E+01
H16       C10          4.3527182239E+01         3.3907715933E+01        2.6925225675E+01
H17       C14          4.4840911627E+01         3.7261984825E+01        3.0667920239E+01
H17       F21          1.8141899119E+01         1.3093549700E+01        7.7733035371E+00
H18       C14          4.1085009677E+01         3.2060466631E+01        2.5811686059E+01
H19       C14          4.1808604123E+01         3.5322104345E+01        2.8538995992E+01
H19       F24          2.2224049107E+01         1.7509267310E+01        1.2213184201E+01
B20       F21          6.1802336307E+01         4.8859613335E+01        3.6485553614E+01
B20       F22          5.7425210148E+01         4.5726409201E+01        3.5507302095E+01
B20       F23          5.0095754141E+01         4.0891631170E+01        3.4309213460E+01
B20       F24          5.7627230203E+01         4.6807405611E+01        3.6486621629E+01
F22       B20          5.7425210148E+01         4.5726409201E+01        3.5507302095E+01
F23       B20          5.0095754141E+01         4.0891631170E+01        3.4309213460E+01
F24       H19          2.2224049106E+01         1.7509267310E+01        1.2213184201E+01
F24       B20          5.7627229475E+01         4.6807405220E+01        3.6486621628E+01
