Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N3        C1           4.6394997024E+01         4.0047961361E+01        3.4652225957E+01
N3        C5           4.5486193807E+01         3.7845157585E+01        3.1535109883E+01
N3        C10          6.6880749935E+01         5.4526020479E+01        4.4283629799E+01
C6        N4           6.5564843297E+01         4.9727457645E+01        3.7615051770E+01
C6        H7           4.0953511495E+01         3.1897430924E+01        2.5451342410E+01
C6        H8           4.2642499514E+01         3.3286201393E+01        2.6578813304E+01
C6        H9           4.3399895789E+01         3.2576242712E+01        2.4561628836E+01
H7        C6           4.0953511495E+01         3.1897430924E+01        2.5451342410E+01
H8        C6           4.2642499514E+01         3.3286201393E+01        2.6578813304E+01
H9        C6           4.3399895789E+01         3.2576242712E+01        2.4561628836E+01
C10       N3           6.6880749933E+01         5.4526020478E+01        4.4283629798E+01
C10       C14          6.0215355963E+01         4.9377909058E+01        4.0511216241E+01
C10       H15          4.4420606116E+01         3.4559918960E+01        2.7423197370E+01
C10       H16          4.3710095239E+01         3.4043925130E+01        2.7032211666E+01
H11       C5           4.2945436662E+01         3.2637580802E+01        2.5321831751E+01
H12       C1           4.3590035620E+01         3.3196115409E+01        2.5172533120E+01
H13       C2           4.0609004556E+01         3.1196254222E+01        2.4638389928E+01
C14       C10          6.0215355963E+01         4.9377909058E+01        4.0511216241E+01
C14       H17          4.9295764474E+01         3.9549053670E+01        3.1664754325E+01
C14       H19          4.6850061854E+01         3.8091424436E+01        3.0661885594E+01
C14       H18          4.1170249447E+01         3.2112790727E+01        2.5851172033E+01
H15       C10          4.4420606116E+01         3.4559918960E+01        2.7423197370E+01
H16       C10          4.3710095239E+01         3.4043925130E+01        2.7032211666E+01
H17       C14          4.9295764474E+01         3.9549053670E+01        3.1664754325E+01
H17       F22          9.1352958531E+00         7.4166722582E+00        5.5169188619E+00
H18       C14          4.1170249447E+01         3.2112790727E+01        2.5851172033E+01
H19       C14          4.6849964237E+01         3.8091362437E+01        3.0661865614E+01
H19       F24          3.1022535001E+01         2.3666615424E+01        1.7332399191E+01
B20       F21          5.0057714765E+01         4.0907009034E+01        3.4325244428E+01
B20       F22          4.9085654940E+01         4.2625987966E+01        3.7447382427E+01
B20       F23          5.9645709232E+01         4.8134602286E+01        3.8822509091E+01
B20       F24          5.9884626882E+01         4.9446037838E+01        4.0935224192E+01
F21       B20          5.0057714765E+01         4.0907009034E+01        3.4325244428E+01
F23       B20          5.9645709230E+01         4.8134602284E+01        3.8822509086E+01
F24       C1           9.8511129984E+00         6.3660973757E+00        3.2612438440E+00
F24       H19          3.1022535001E+01         2.3666615424E+01        1.7332399191E+01
F24       B20          5.9883079078E+01         4.9440869445E+01        4.0933309200E+01
