Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
N3        C1           4.7952609825E+01         4.1304144827E+01        3.5089465449E+01
N3        C5           4.5282427215E+01         3.7556308120E+01        3.1125300348E+01
N3        C10          6.8055662080E+01         5.5384742558E+01        4.4389214822E+01
C6        N4           6.5406251151E+01         4.9472894146E+01        3.7401218223E+01
C6        H7           4.0976726545E+01         3.1929923528E+01        2.5471620619E+01
C6        H8           4.2562172673E+01         3.3226916279E+01        2.6547772667E+01
C6        H9           4.3292375666E+01         3.2325258151E+01        2.4401428849E+01
H7        C6           4.0976726545E+01         3.1929923528E+01        2.5471620619E+01
H8        C6           4.2562172673E+01         3.3226916279E+01        2.6547772667E+01
H9        C6           4.3292375666E+01         3.2325258151E+01        2.4401428849E+01
C10       N3           6.8055662079E+01         5.5384742557E+01        4.4389214821E+01
C10       C14          6.1421108085E+01         5.0249572818E+01        4.0636879413E+01
C10       H15          4.4362123430E+01         3.4512966013E+01        2.7380197759E+01
C10       H16          4.3658980840E+01         3.4026909576E+01        2.7017568467E+01
H11       C5           4.2853467901E+01         3.2576508962E+01        2.5287341732E+01
H12       C1           4.3226788761E+01         3.2691397908E+01        2.5065020675E+01
H13       C2           4.0586024161E+01         3.1183265006E+01        2.4621002709E+01
C14       C10          6.1421108085E+01         5.0249572818E+01        4.0636879413E+01
C14       H17          4.8157287607E+01         3.9102093891E+01        3.1250944376E+01
C14       H19          4.0350711478E+01         3.4407743145E+01        2.8869840500E+01
C14       H18          4.1134162272E+01         3.2081930582E+01        2.5834392672E+01
C14       F22          9.6982532047E+00         7.9685597503E+00        5.9796702250E+00
H15       C10          4.4362123430E+01         3.4512966013E+01        2.7380197759E+01
H16       C10          4.3658980840E+01         3.4026909576E+01        2.7017568467E+01
H17       C14          4.8157287607E+01         3.9102093891E+01        3.1250944376E+01
H17       F23          7.9858285638E+00         4.7636164078E+00        2.0216506829E+00
H18       C14          4.1134162272E+01         3.2081930582E+01        2.5834392672E+01
H19       C14          4.0350711478E+01         3.4407743145E+01        2.8869840499E+01
H19       F24          2.3278931518E+01         1.8877307687E+01        1.4581826228E+01
F21       B20          5.0080289020E+01         4.0907922722E+01        3.4317701530E+01
F23       H17          7.9858285597E+00         4.7636164036E+00        2.0216506786E+00
F23       B20          5.1580102440E+01         4.3226668505E+01        3.6550480732E+01
