Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           5.2676021347E+01         4.4496066502E+01        3.8313065644E+01
C1        N3           4.6574000989E+01         4.0671107624E+01        3.6032578988E+01
C1        F24          1.7948144988E+01         1.6671466774E+01        1.5536894692E+01
C1        H12          4.7292668336E+01         3.8632277779E+01        3.1884016040E+01
C1        F22          5.1950187995E+00         4.9895354667E+00        4.7681165450E+00
C1        F21          2.7038149155E+01         2.1801502661E+01        1.7847222213E+01
C2        C1           5.2676021347E+01         4.4496066502E+01        3.8313065644E+01
C2        N4           4.0835564359E+01         3.3783349271E+01        2.8452172565E+01
C2        H13          4.3314506464E+01         3.3328321391E+01        2.6185829643E+01
N3        C1           4.6574000989E+01         4.0671107624E+01        3.6032578988E+01
N3        C5           4.8602960307E+01         4.0869337905E+01        3.4878603852E+01
N3        C10          6.5553427785E+01         5.3054301942E+01        4.3409655131E+01
N4        C2           4.0835564359E+01         3.3783349271E+01        2.8452172565E+01
N4        C5           5.6509710557E+01         4.6086930414E+01        3.7915580319E+01
N4        C6           6.5212953386E+01         5.0179192006E+01        3.8851406890E+01
C6        N4           6.5212953386E+01         5.0179192006E+01        3.8851406890E+01
C6        H7           4.1331070053E+01         3.2152949470E+01        2.5643948257E+01
C6        H8           4.2955657586E+01         3.3486592524E+01        2.6746442197E+01
C6        H9           4.2960960165E+01         3.2934501643E+01        2.5696239046E+01
H7        C6           4.1331070053E+01         3.2152949470E+01        2.5643948257E+01
H8        C6           4.2955657586E+01         3.3486592524E+01        2.6746442197E+01
H9        C6           4.2960960165E+01         3.2934501643E+01        2.5696239046E+01
C10       N3           6.5553427785E+01         5.3054301942E+01        4.3409655131E+01
C10       C14          7.3465328558E+01         5.8575964122E+01        4.7239222416E+01
C10       H15          4.6708586268E+01         3.7774622951E+01        3.1106234440E+01
C10       H16          4.5504565945E+01         3.5475565283E+01        2.8254256728E+01
H11       C5           4.3259634145E+01         3.3162466009E+01        2.5919942448E+01
H12       C1           4.7292668336E+01         3.8632277779E+01        3.1884016040E+01
H13       C2           4.3314506464E+01         3.3328321391E+01        2.6185829643E+01
C14       C10          7.3465328558E+01         5.8575964122E+01        4.7239222416E+01
C14       H19          4.4637326707E+01         3.4759657647E+01        2.7602082158E+01
C14       H17          5.0526016426E+01         4.0730158020E+01        3.3289827510E+01
C14       H18          4.1046038977E+01         3.2014325180E+01        2.5769170509E+01
H15       C10          4.6708586268E+01         3.7774622951E+01        3.1106234440E+01
H15       F24          2.5444042180E+01         2.0000547395E+01        1.5689136574E+01
H16       C10          4.5504565945E+01         3.5475565283E+01        2.8254256728E+01
H17       C14          5.0526016426E+01         4.0730158020E+01        3.3289827510E+01
H18       C14          4.1046038977E+01         3.2014325180E+01        2.5769170509E+01
H19       C14          4.4637326707E+01         3.4759657647E+01        2.7602082158E+01
B20       F21          4.1835793481E+01         3.6034716803E+01        3.1614187238E+01
B20       F22          4.1421253897E+01         3.5796215881E+01        3.1497074177E+01
B20       F23          5.0800681139E+01         4.1717742337E+01        3.5134272387E+01
B20       F24          4.1618259572E+01         3.5929475214E+01        3.1550455905E+01
F21       C1           2.7038149155E+01         2.1801502661E+01        1.7847222213E+01
F21       B20          4.1835793481E+01         3.6034716803E+01        3.1614187238E+01
F23       B20          5.0800681139E+01         4.1717742337E+01        3.5134272387E+01
F24       C1           1.7948144989E+01         1.6671466775E+01        1.5536894693E+01
F24       H15          2.5444042180E+01         2.0000547395E+01        1.5689136574E+01
F24       B20          4.1618259577E+01         3.5929475218E+01        3.1550455909E+01
