Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.2635629019E+01         3.4954143602E+01        2.9299054095E+01
C1        N3           4.9381622880E+01         3.9730933873E+01        3.2159331318E+01
C1        H12          4.1739248108E+01         3.2168206641E+01        2.5126350244E+01
C2        C1           4.2635629019E+01         3.4954143602E+01        2.9299054095E+01
C2        N4           4.3909852745E+01         3.5599368333E+01        2.9384030619E+01
C2        H13          3.9889680294E+01         3.0637027617E+01        2.4207522339E+01
N3        C1           4.9381622880E+01         3.9730933873E+01        3.2159331318E+01
N3        C5           4.5321448047E+01         3.6544019457E+01        3.0043242530E+01
N3        C10          7.2889891715E+01         5.6380645399E+01        4.3759408873E+01
N4        C2           4.3909852745E+01         3.5599368333E+01        2.9384030619E+01
N4        C5           4.3471296468E+01         3.5702322133E+01        2.9826950644E+01
N4        C6           5.9997135796E+01         4.6731190674E+01        3.6946852834E+01
C5        N3           4.5321448047E+01         3.6544019457E+01        3.0043242530E+01
C5        N4           4.3471296468E+01         3.5702322133E+01        2.9826950644E+01
C5        H11          4.2071657513E+01         3.2278295222E+01        2.5242922617E+01
C6        N4           5.9997135796E+01         4.6731190674E+01        3.6946852834E+01
C6        H7           3.9865081365E+01         3.1046997148E+01        2.4859111357E+01
C6        H8           4.2410073066E+01         3.3177031099E+01        2.6553875164E+01
C6        H9           3.8871733715E+01         3.0325547382E+01        2.4352047129E+01
H7        C6           3.9865081365E+01         3.1046997148E+01        2.4859111357E+01
H8        C6           4.2410073066E+01         3.3177031099E+01        2.6553875164E+01
H9        C6           3.8871733715E+01         3.0325547382E+01        2.4352047129E+01
C10       N3           7.2889891715E+01         5.6380645399E+01        4.3759408873E+01
C10       C14          6.6441810437E+01         5.1374864861E+01        4.0042407383E+01
C10       H15          4.4179349756E+01         3.4437352103E+01        2.7373385525E+01
C10       H16          4.2611263608E+01         3.3206677404E+01        2.6379096269E+01
H11       C5           4.2071657513E+01         3.2278295222E+01        2.5242922617E+01
H12       C1           4.1739248108E+01         3.2168206641E+01        2.5126350244E+01
H13       C2           3.9889680294E+01         3.0637027617E+01        2.4207522339E+01
C14       C10          6.6441810437E+01         5.1374864861E+01        4.0042407383E+01
C14       H17          4.3300839603E+01         3.3403772383E+01        2.6440753954E+01
C14       H18          4.0184111971E+01         3.1433911923E+01        2.5351038188E+01
C14       H19          4.5892028021E+01         3.5630326745E+01        2.8043010215E+01
H15       C10          4.4179349756E+01         3.4437352103E+01        2.7373385525E+01
H16       C10          4.2611263608E+01         3.3206677404E+01        2.6379096269E+01
H17       C14          4.3300839603E+01         3.3403772383E+01        2.6440753954E+01
H17       F21          0.0000000000E+00         0.0000000000E+00        0.0000000000E+00
H18       C14          4.0184111971E+01         3.1433911923E+01        2.5351038188E+01
H19       C14          4.5892028021E+01         3.5630326745E+01        2.8043010215E+01
B20       F21          5.1106494701E+01         4.1565151795E+01        3.4726493811E+01
B20       F22          5.0873491003E+01         4.1465860741E+01        3.4702807113E+01
B20       F23          5.0759643262E+01         4.1377659620E+01        3.4640279615E+01
B20       F24          5.0795895276E+01         4.1417388671E+01        3.4678962433E+01
F21       H17          0.0000000000E+00         0.0000000000E+00        0.0000000000E+00
F21       B20          5.1106494701E+01         4.1565151795E+01        3.4726493811E+01
F22       B20          5.0873491003E+01         4.1465860741E+01        3.4702807113E+01
F23       B20          5.0759643262E+01         4.1377659620E+01        3.4640279615E+01
F24       B20          5.0795895276E+01         4.1417388671E+01        3.4678962433E+01
