Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.4510048892E+01         3.8106458381E+01        3.3254964123E+01
C1        N3           4.8185639366E+01         4.1755516370E+01        3.6538806157E+01
C1        F24          1.6505636549E+01         1.4208789827E+01        1.2270471401E+01
C1        H12          4.7795472825E+01         3.7718796121E+01        2.9817431092E+01
C2        C1           4.4510048892E+01         3.8106458381E+01        3.3254964123E+01
C2        N4           4.2981104395E+01         3.5761740092E+01        3.0225427682E+01
C2        H13          4.2798114520E+01         3.2690629862E+01        2.5478572994E+01
C2        F21          2.3147728019E+01         1.7903002304E+01        1.3872022060E+01
N4        C2           4.3343415596E+01         3.6063731541E+01        3.0519829280E+01
N4        C5           5.7739621329E+01         4.6977331331E+01        3.8359391370E+01
N4        C6           6.5691812020E+01         5.0269848502E+01        3.8599194261E+01
C6        N4           6.5691812020E+01         5.0269848502E+01        3.8599194261E+01
C6        H7           4.1436756201E+01         3.2254008298E+01        2.5723539729E+01
C6        H8           4.2674194014E+01         3.3266954888E+01        2.6572726335E+01
C6        H9           4.3389935152E+01         3.3010017830E+01        2.5471374432E+01
H7        C6           4.1436756201E+01         3.2254008298E+01        2.5723539729E+01
H8        C6           4.2674194014E+01         3.3266954888E+01        2.6572726335E+01
H9        C6           4.3389935152E+01         3.3010017830E+01        2.5471374432E+01
C10       N3           6.7205700714E+01         5.4098203387E+01        4.3832009560E+01
C10       C14          6.7496872207E+01         5.2606627833E+01        4.1502273013E+01
C10       H15          3.5170780102E+01         2.8939156127E+01        2.4339668680E+01
C10       H16          4.5754581120E+01         3.5694642849E+01        2.8410735493E+01
H11       C5           4.3175220340E+01         3.3117891263E+01        2.5900849902E+01
H12       C1           4.7795472825E+01         3.7718796121E+01        2.9817431092E+01
H13       C2           4.2798114520E+01         3.2690629862E+01        2.5478572994E+01
C14       H19          4.3376794926E+01         3.3633733497E+01        2.6802734163E+01
C14       C10          6.7496872207E+01         5.2606627833E+01        4.1502273013E+01
C14       H17          4.8541862864E+01         3.7995188945E+01        3.0168031030E+01
C14       H18          4.0870134389E+01         3.1891718617E+01        2.5678555658E+01
H15       C10          3.5170780102E+01         2.8939156127E+01        2.4339668680E+01
H15       F24          1.9894916299E+01         1.5471443089E+01        1.2070647157E+01
H16       C10          4.5754581120E+01         3.5694642849E+01        2.8410735493E+01
H17       C14          4.8541862864E+01         3.7995188945E+01        3.0168031030E+01
H18       C14          4.0870134389E+01         3.1891718617E+01        2.5678555658E+01
H19       C14          4.3376794926E+01         3.3633733497E+01        2.6802734163E+01
B20       F21          4.5083148440E+01         3.8677408214E+01        3.3795368287E+01
B20       F22          4.4572918786E+01         3.8424017410E+01        3.3740139138E+01
B20       F23          4.9821313688E+01         4.0814148049E+01        3.4296017810E+01
B20       F24          4.4708364463E+01         3.8474540623E+01        3.3667572865E+01
F21       C2           2.3147728019E+01         1.7903002304E+01        1.3872022060E+01
F21       B20          4.5083148440E+01         3.8677408214E+01        3.3795368287E+01
F23       B20          4.9821313688E+01         4.0814148049E+01        3.4296017810E+01
F24       C1           1.6505636549E+01         1.4208789827E+01        1.2270471401E+01
F24       H15          1.9894916299E+01         1.5471443089E+01        1.2070647157E+01
F24       B20          4.4708364472E+01         3.8474540630E+01        3.3667572872E+01
