Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           5.3363874826E+01         4.5171239114E+01        3.8956558118E+01
C1        N3           4.5478658398E+01         3.9705421248E+01        3.5146030936E+01
C1        H12          4.7142313470E+01         3.8528998608E+01        3.1832375745E+01
C1        F22          5.6873184674E+00         5.4512005317E+00        5.1878596332E+00
C1        F21          2.7534107186E+01         2.2307823640E+01        1.8373298273E+01
C1        F24          1.8778195503E+01         1.7394169560E+01        1.6180467883E+01
C2        C1           5.3363874826E+01         4.5171239114E+01        3.8956558118E+01
C2        N4           4.0861655384E+01         3.3844864458E+01        2.8502528109E+01
C2        H13          4.3558216990E+01         3.3625969561E+01        2.6519026706E+01
N4        C2           4.0861655384E+01         3.3844864458E+01        2.8502528109E+01
N4        C5           5.9246044899E+01         4.8100090289E+01        3.9216033615E+01
N4        C6           6.5410327109E+01         5.0444804812E+01        3.9150240748E+01
C6        N4           6.5410327109E+01         5.0444804812E+01        3.9150240748E+01
C6        H7           4.1510406254E+01         3.2312690633E+01        2.5768045019E+01
C6        H8           4.2732491774E+01         3.3305153457E+01        2.6595135537E+01
C6        H9           4.3148894667E+01         3.3187886865E+01        2.5980626725E+01
H7        C6           4.1510406254E+01         3.2312690633E+01        2.5768045019E+01
H8        C6           4.2732491774E+01         3.3305153457E+01        2.6595135537E+01
H9        C6           4.3148894667E+01         3.3187886865E+01        2.5980626725E+01
C10       N3           6.5547001525E+01         5.3021898916E+01        4.3346970469E+01
C10       C14          7.2641095478E+01         5.7804084786E+01        4.6501189488E+01
C10       H15          4.5952491622E+01         3.7111060908E+01        3.0489662671E+01
C10       H16          4.5828442888E+01         3.5778680913E+01        2.8517435077E+01
H11       C5           4.3328504649E+01         3.3250312167E+01        2.5977550319E+01
H12       C1           4.7142313470E+01         3.8528998608E+01        3.1832375745E+01
H13       C2           4.3558216990E+01         3.3625969561E+01        2.6519026706E+01
C14       C10          7.2641095478E+01         5.7804084786E+01        4.6501189488E+01
C14       H17          5.0803031868E+01         4.0795915661E+01        3.3207976204E+01
C14       H18          4.1038695298E+01         3.2004145914E+01        2.5761150668E+01
C14       H19          4.4350061034E+01         3.4477831421E+01        2.7360377588E+01
H15       C10          4.5952491622E+01         3.7111060908E+01        3.0489662671E+01
H15       F24          2.4529099943E+01         1.9234060480E+01        1.5055504107E+01
H16       C10          4.5828442888E+01         3.5778680913E+01        2.8517435077E+01
H17       C14          5.0803031868E+01         4.0795915661E+01        3.3207976204E+01
H18       C14          4.1038695298E+01         3.2004145914E+01        2.5761150668E+01
H19       C14          4.4350061034E+01         3.4477831421E+01        2.7360377588E+01
B20       F21          4.1171265478E+01         3.5432160001E+01        3.1065858840E+01
B20       F22          4.0498520376E+01         3.5080286940E+01        3.0903395010E+01
B20       F23          5.1124294694E+01         4.2022411732E+01        3.5399404726E+01
B20       F24          4.0826012305E+01         3.5279453478E+01        3.1023688880E+01
F21       C1           2.7534107186E+01         2.2307823640E+01        1.8373298273E+01
F21       B20          4.1171265478E+01         3.5432160001E+01        3.1065858840E+01
F22       C1           5.6873184673E+00         5.4512005316E+00        5.1878596332E+00
F22       N3           7.5129599837E+01         5.9382720433E+01        4.7853040929E+01
F22       B20          4.0498520376E+01         3.5080286940E+01        3.0903395010E+01
F23       B20          5.1124294694E+01         4.2022411732E+01        3.5399404726E+01
F24       C1           1.8778195503E+01         1.7394169560E+01        1.6180467883E+01
F24       H15          2.4529099943E+01         1.9234060480E+01        1.5055504107E+01
F24       B20          4.0826012305E+01         3.5279453478E+01        3.1023688880E+01
