Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           5.3563956116E+01         4.5412850672E+01        3.9224093989E+01
C1        N3           4.5555029029E+01         3.9763995971E+01        3.5176440685E+01
C1        F24          1.8784068133E+01         1.7388599433E+01        1.6158040772E+01
C1        H12          4.7220036725E+01         3.8564175933E+01        3.1854923080E+01
C1        F22          6.7443878592E+00         6.3311427058E+00        5.9294809352E+00
C1        F21          2.8697814146E+01         2.3455857821E+01        1.9491600243E+01
C2        C1           5.3563956116E+01         4.5412850672E+01        3.9224093989E+01
C2        N4           4.0920975237E+01         3.3917832467E+01        2.8556469284E+01
C2        H13          4.3537665583E+01         3.3621926490E+01        2.6536140134E+01
N4        C2           4.0920975237E+01         3.3917832467E+01        2.8556469284E+01
N4        C5           5.5418583466E+01         4.5241720988E+01        3.7312724611E+01
N4        C6           6.5205484163E+01         5.0303092933E+01        3.9064113104E+01
C6        N4           6.5205484163E+01         5.0303092933E+01        3.9064113104E+01
C6        H7           4.1470340730E+01         3.2274615463E+01        2.5743907117E+01
C6        H8           4.2823973187E+01         3.3394669171E+01        2.6659427339E+01
C6        H9           4.2938653225E+01         3.3029366519E+01        2.5879435157E+01
H7        C6           4.1470340730E+01         3.2274615463E+01        2.5743907117E+01
H8        C6           4.2823973187E+01         3.3394669171E+01        2.6659427339E+01
H9        C6           4.2938653225E+01         3.3029366519E+01        2.5879435157E+01
C10       N3           6.5202395328E+01         5.2746178991E+01        4.3151252940E+01
C10       C14          7.1608114325E+01         5.6726655614E+01        4.5395233957E+01
C10       H15          4.3085293263E+01         3.4791981006E+01        2.8621001461E+01
C10       H16          4.6160683588E+01         3.6054764377E+01        2.8776918342E+01
H11       C5           4.3485005305E+01         3.3423940723E+01        2.6171539534E+01
H12       C1           4.7220036725E+01         3.8564175933E+01        3.1854923080E+01
H13       C2           4.3537665583E+01         3.3621926490E+01        2.6536140134E+01
C14       C10          7.1608114325E+01         5.6726655614E+01        4.5395233957E+01
C14       H17          4.9986021104E+01         3.9928090912E+01        3.2293057767E+01
C14       H18          4.1036706336E+01         3.1997568326E+01        2.5755546459E+01
C14       H19          4.4356662811E+01         3.4462871487E+01        2.7368901205E+01
H15       C10          4.3085293263E+01         3.4791981006E+01        2.8621001461E+01
H15       F24          2.3892714201E+01         1.8673928975E+01        1.4579806391E+01
H16       C10          4.6160683588E+01         3.6054764377E+01        2.8776918342E+01
H17       C14          4.9986021104E+01         3.9928090912E+01        3.2293057767E+01
H18       C14          4.1036706336E+01         3.1997568326E+01        2.5755546459E+01
H19       C14          4.4356662811E+01         3.4462871487E+01        2.7368901205E+01
B20       F21          4.0247040417E+01         3.4657870122E+01        3.0422070127E+01
B20       F22          3.9743608443E+01         3.4368902896E+01        3.0271613710E+01
B20       F23          5.1726494266E+01         4.2551501024E+01        3.5907406161E+01
B20       F24          3.9874781012E+01         3.4389991192E+01        3.0204932773E+01
F21       C1           2.8697814146E+01         2.3455857821E+01        1.9491600243E+01
F21       B20          4.0247040417E+01         3.4657870122E+01        3.0422070127E+01
F23       B20          5.1726494266E+01         4.2551501024E+01        3.5907406161E+01
F24       C1           1.8784068134E+01         1.7388599433E+01        1.6158040772E+01
F24       H15          2.3892714201E+01         1.8673928975E+01        1.4579806391E+01
F24       B20          3.9874781012E+01         3.4389991192E+01        3.0204932773E+01
