,Radius,Theta,Phi,LMP.Int.En.
120,3.0,90.0,270.0,-1.99818564635423
121,4.0,90.0,270.0,-1.58962318101098
122,5.0,90.0,270.0,-1.315834085396
123,6.0,90.0,270.0,-1.11970688091331
124,7.0,90.0,270.0,-0.972940505185251
125,8.0,90.0,270.0,-0.85945430400648
126,9.0,90.0,270.0,-0.76939926456323
127,10.0,90.0,270.0,-0.696419567358477
128,12.0,90.0,270.0,-0.58589562851317
129,15.0,90.0,270.0,-0.47523074448146
130,20.0,90.0,270.0,-0.3669885497008
131,30.0,90.0,270.0,-0.220148224829862
132,3.0,175.0,270.0,-2.50939401823287
133,4.0,175.0,270.0,-1.91618237680887
134,5.0,175.0,270.0,-1.51008717593054
135,6.0,175.0,270.0,-1.23929748666271
136,7.0,175.0,270.0,-1.04979644565801
137,8.0,175.0,270.0,-0.910869514338242
138,9.0,175.0,270.0,-0.805010342991853
139,10.0,175.0,270.0,-0.721820903981655
140,12.0,175.0,270.0,-0.599771484732313
141,15.0,175.0,270.0,-0.48163510110488
142,20.0,175.0,270.0,-0.369267362392145
143,30.0,175.0,270.0,-0.237638913306231
