,Radius,Theta,Phi,LMP.Int.En.
150,3.0,150,0,2.00698082977736e+17
151,3.5,150,0,140077287977960
152,4.0,150,0,113111361113.683
153,4.5,150,0,1034209887.9605
154,5.0,150,0,32886657.4228675
155,5.5,150,0,2142174.50490225
156,6.0,150,0,219906.907123656
157,7.0,150,0,5256.70943309088
158,8.0,150,0,214.056163911255
159,9.0,150,0,4.49755707030059
160,10.0,150,0,-2.81690309697475
161,12.0,150,0,-0.540712550795624
162,15.0,150,0,-0.0289835828727415
163,20.0,150,0,0.0124844345084127
164,30.0,150,0,0.0140181825775261
165,3.0,165,0,50990598515.5838
166,3.5,165,0,8619930558.1646
167,4.0,165,0,564513781.616477
168,4.5,165,0,37200510.378061
169,5.0,165,0,3224768.82961655
170,5.5,165,0,371743.807893278
171,6.0,165,0,54291.5173967524
172,7.0,165,0,1893.18521119118
173,8.0,165,0,85.5222740046886
174,9.0,165,0,-0.812989794748871
175,10.0,165,0,-2.48591590515463
176,12.0,165,0,-0.434838956597444
177,15.0,165,0,-0.0224368585982275
178,20.0,165,0,0.0126467360111724
179,30.0,165,0,0.0140166711163191
180,3.0,175,0,477683745.418715
181,3.5,175,0,123987305.145733
182,4.0,175,0,19378516.9789947
183,4.5,175,0,2698512.21328621
184,5.0,175,0,401335.254119151
185,5.5,175,0,67403.6783119345
186,6.0,175,0,12791.2129925545
187,7.0,175,0,598.574844973633
188,8.0,175,0,25.9077962935966
189,9.0,175,0,-2.86281972416854
190,10.0,175,0,-2.01119952225059
191,12.0,175,0,-0.333986987645661
192,15.0,175,0,-0.0158840079859573
193,20.0,175,0,0.0128206392880965
194,30.0,175,0,0.0140203416123534
195,3.0,5,30,27245977979241.3
196,3.5,5,30,2674329705.2485
197,4.0,5,30,10772695.1574741
198,4.5,5,30,217809.04559138
199,5.0,5,30,10074.0487804695
200,5.5,5,30,722.146545399801
201,6.0,5,30,54.9255266008002
202,7.0,5,30,-4.49925699832616
203,8.0,5,30,-1.57863318631399
204,9.0,5,30,-0.502789504493102
205,10.0,5,30,-0.172921524009103
206,12.0,5,30,-0.0185129408275417
207,15.0,5,30,0.0101698316913106
208,20.0,5,30,0.0137872517018209
209,30.0,5,30,0.0140320288417418
210,3.0,15,30,5514217629.40392
211,3.5,15,30,79492760.8704298
212,4.0,15,30,1597413.15459779
213,4.5,15,30,62707.7679926336
214,5.0,15,30,4021.07950878491
215,5.5,15,30,336.589528252892
216,6.0,15,30,23.2116405691342
217,7.0,15,30,-4.44825726489375
218,8.0,15,30,-1.51330504511229
219,9.0,15,30,-0.495903931191532
220,10.0,15,30,-0.174404691854651
221,12.0,15,30,-0.0195463783903235
222,15.0,15,30,0.00999174517183834
223,20.0,15,30,0.0137746040265013
224,30.0,15,30,0.0140295119887671
225,3.0,30,30,2733378.80818918
226,3.5,30,30,325576.293167333
227,4.0,30,30,31850.716241694
228,4.5,30,30,3342.27521566032
229,5.0,30,30,381.214307520572
230,5.5,30,30,35.8457116535166
231,6.0,30,30,-4.23685987601844
232,7.0,30,30,-4.00239507185942
233,8.0,30,30,-1.38609141660341
234,9.0,30,30,-0.486556914803259
235,10.0,30,30,-0.179734647901078
236,12.0,30,30,-0.0221989816323659
237,15.0,30,30,0.00956102752994012
238,20.0,30,30,0.0137455948582832
239,30.0,30,30,0.0140320396399744
240,3.0,45,30,112207.844566432
241,3.5,45,30,16552.7031197223
242,4.0,45,30,2719.09164858339
243,4.5,45,30,463.36845542889
244,5.0,45,30,70.0983845483899
245,5.5,45,30,2.05765526418439
246,6.0,45,30,-6.85824475857515
247,7.0,45,30,-3.78454870425032
248,8.0,45,30,-1.41538979040869
249,9.0,45,30,-0.528165351251402
250,10.0,45,30,-0.203690974240183
251,12.0,45,30,-0.0281374734466391
252,15.0,45,30,0.00876513943645663
253,20.0,45,30,0.0136979862605199
254,30.0,45,30,0.014029531086436
255,3.0,60,30,92936.7143788807
256,3.5,60,30,13020.9566805871
257,4.0,60,30,2234.72891987741
258,4.5,60,30,422.116735249272
259,5.0,60,30,74.2911581943797
260,5.5,60,30,5.27967184002972
261,6.0,60,30,-6.20873895945087
262,7.0,60,30,-4.30082655443561
263,8.0,60,30,-1.73878407517343
264,9.0,60,30,-0.675801581336114
265,10.0,60,30,-0.267691581536075
266,12.0,60,30,-0.0408191747107996
267,15.0,60,30,0.00730105934321852
268,20.0,60,30,0.0136212079523681
269,30.0,60,30,0.0140320620480111
270,3.0,75,30,108268.825778111
271,3.5,75,30,18178.3230755344
272,4.0,75,30,3869.48944964099
273,4.5,75,30,922.605682671374
274,5.0,75,30,222.765438608068
275,5.5,75,30,46.9086613240356
276,6.0,75,30,3.86160131087445
277,7.0,75,30,-5.06601964150036
278,8.0,75,30,-2.50479237135314
279,9.0,75,30,-1.02294156149981
280,10.0,75,30,-0.411088039578022
281,12.0,75,30,-0.0664530816897982
282,15.0,75,30,0.00468671464857759
283,20.0,75,30,0.0135017108752635
284,30.0,75,30,0.0140234739517209
285,3.0,90,30,300873.936756105
286,3.5,90,30,81863.2855414551
287,4.0,90,30,22718.4151844409
288,4.5,90,30,6242.24514222953
289,5.0,90,30,1702.77041723398
290,5.5,90,30,456.669839367522
291,6.0,90,30,115.282454234887
292,7.0,90,30,0.614707159890185
293,8.0,90,30,-3.55618968974883
294,9.0,90,30,-1.71742930028255
295,10.0,90,30,-0.70589857101214
296,12.0,90,30,-0.115495818420131
297,15.0,90,30,0.000270312072072679
298,20.0,90,30,0.0133272351102984
299,30.0,90,30,0.0140243138956335
300,3.0,105,30,4745960.65774955
301,3.5,105,30,1477797.17652386
302,4.0,105,30,372674.395543994
303,4.5,105,30,86880.6265303615
304,5.0,105,30,20184.7639351508
305,5.5,105,30,4819.55480371208
306,6.0,105,30,1183.69827803967
307,7.0,105,30,67.1597711619992
308,8.0,105,30,-1.47159734117685
309,9.0,105,30,-2.72205976583694
310,10.0,105,30,-1.23081002018245
311,12.0,105,30,-0.199935838319852
312,15.0,105,30,-0.00643559685550891
313,20.0,105,30,0.0130989137701136
314,30.0,105,30,0.0140198648341254
315,3.0,120,30,263305370.374243
316,3.5,120,30,70768709.8998609
317,4.0,120,30,11994104.0108819
318,4.5,120,30,1811005.37526081
319,5.0,120,30,287627.632674384
320,5.5,120,30,50765.0476162868
321,6.0,120,30,9989.02533671852
322,7.0,120,30,486.255937497888
323,8.0,120,30,20.2275217115181
324,9.0,120,30,-2.98759475718591
325,10.0,120,30,-1.92549680619679
326,12.0,120,30,-0.318057017547231
327,15.0,120,30,-0.0148154351425051
328,20.0,120,30,0.0128500848075646
329,30.0,120,30,0.0140205475787663
330,3.0,135,30,38865091254.8304
331,3.5,135,30,6798958392.91171
332,4.0,135,30,473977328.384502
333,4.5,135,30,32749395.8641797
334,5.0,135,30,2928034.99600078
335,5.5,135,30,344388.151227032
336,6.0,135,30,50973.8841741362
337,7.0,135,30,1804.24351958026
338,8.0,135,30,81.6944889412016
339,9.0,135,30,-0.962779988346814
340,10.0,135,30,-2.46725241478498
341,12.0,135,30,-0.430240044769521
342,15.0,135,30,-0.0221470944731299
343,20.0,135,30,0.0126540543136803
344,30.0,135,30,0.0140192386957722
345,3.0,150,30,522808789554.321
