,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
139,30.0,135.0,0.0,-0.321162240498702
140,1.0,150.0,0.0,7094070.9413975
141,2.0,150.0,0.0,2179790.87123718
142,3.0,150.0,0.0,6506761516010.03
143,4.0,150.0,0.0,3792742.08467406
144,5.0,150.0,0.0,1203.26226293629
145,6.0,150.0,0.0,6.95201919867378
146,7.0,150.0,0.0,-1.30356126747005
147,8.0,150.0,0.0,-1.24346932388906
148,9.0,150.0,0.0,-1.07230756769433
149,10.0,150.0,0.0,-0.943857734950721
150,12.0,150.0,0.0,-0.767450956789167
151,15.0,150.0,0.0,-0.605204557750253
152,20.0,150.0,0.0,-0.455853113238731
153,30.0,150.0,0.0,-0.30977987735968
154,1.0,165.0,0.0,7093716.66795352
155,2.0,165.0,0.0,114410.351642213
156,3.0,165.0,0.0,1718165.80308133
157,4.0,165.0,0.0,19828.3514574113
158,5.0,165.0,0.0,121.311836095378
159,6.0,165.0,0.0,0.419989875999555
160,7.0,165.0,0.0,-1.37573466918985
161,8.0,165.0,0.0,-1.20985634909391
162,9.0,165.0,0.0,-1.04827776512614
163,10.0,165.0,0.0,-0.927220104996198
164,12.0,165.0,0.0,-0.758263887307409
165,15.0,165.0,0.0,-0.601002515404479
166,20.0,165.0,0.0,-0.455480470592658
167,30.0,165.0,0.0,-0.32287546657383
168,1.0,175.0,0.0,7093477.97815368
169,2.0,175.0,0.0,11918.0023369478
170,3.0,175.0,0.0,16822.0532612732
171,4.0,175.0,0.0,714.760421845536
172,5.0,175.0,0.0,13.8861711579919
173,6.0,175.0,0.0,-1.17543198311827
174,7.0,175.0,0.0,-1.36589126678821
175,8.0,175.0,0.0,-1.17523147825825
176,9.0,175.0,0.0,-1.02475686713763
177,10.0,175.0,0.0,-0.910815729193384
178,12.0,175.0,0.0,-0.749036591286323
179,15.0,175.0,0.0,-0.596400524057579
180,20.0,175.0,0.0,-0.454133508353992
181,30.0,175.0,0.0,-0.313052496918415
182,1.0,5.0,30.0,7094216.58249209
183,2.0,5.0,30.0,31132132.2400064
184,3.0,5.0,30.0,38560901286.7377
185,4.0,5.0,30.0,17465.1785708927
186,5.0,5.0,30.0,19.7746419772538
187,6.0,5.0,30.0,-1.41934583303958
188,7.0,5.0,30.0,-1.34725261998947
189,8.0,5.0,30.0,-1.14920710970934
190,9.0,5.0,30.0,-1.00446415924065
191,10.0,5.0,30.0,-0.894773778022654
192,12.0,5.0,30.0,-0.738041053783698
193,15.0,5.0,30.0,-0.58938835306385
194,20.0,5.0,30.0,-0.45032419144455
195,30.0,5.0,30.0,-0.310609070323133
196,1.0,15.0,30.0,7093923.00250353
197,2.0,15.0,30.0,1659601.8874362
198,3.0,15.0,30.0,8138144.01111446
199,4.0,15.0,30.0,2725.68499843662
200,5.0,15.0,30.0,7.20704710513068
201,6.0,15.0,30.0,-1.50255984306927
202,7.0,15.0,30.0,-1.34056381693194
203,8.0,15.0,30.0,-1.14601560328437
204,9.0,15.0,30.0,-1.00355319589452
205,10.0,15.0,30.0,-0.894883918232554
206,12.0,15.0,30.0,-0.738746456408605
207,15.0,15.0,30.0,-0.589885282947542
208,20.0,15.0,30.0,-0.449948946228
209,30.0,15.0,30.0,-0.319460119444476
210,1.0,30.0,30.0,7093456.30330505
211,2.0,30.0,30.0,13619.7827722599
212,3.0,30.0,30.0,4459.40343935381
213,4.0,30.0,30.0,58.6524853789193
214,5.0,30.0,30.0,-0.982843949920139
215,6.0,30.0,30.0,-1.55227633114584
216,7.0,30.0,30.0,-1.31432461221227
217,8.0,30.0,30.0,-1.13175551272987
218,9.0,30.0,30.0,-0.995995596686284
219,10.0,30.0,30.0,-0.89070686328726
220,12.0,30.0,30.0,-0.73725845396078
221,15.0,30.0,30.0,-0.588950167407901
222,20.0,30.0,30.0,-0.447812892449283
223,30.0,30.0,30.0,-0.303570500893673
224,1.0,45.0,30.0,7093253.96712988
225,2.0,45.0,30.0,1970.75500601573
226,3.0,45.0,30.0,54.8265081042731
227,4.0,45.0,30.0,-0.122494845038417
228,5.0,45.0,30.0,-1.78253836073578
229,6.0,45.0,30.0,-1.51803020591563
230,7.0,45.0,30.0,-1.28585891106056
231,8.0,45.0,30.0,-1.11607176835341
232,9.0,45.0,30.0,-0.98705476342741
233,10.0,45.0,30.0,-0.885392608750356
234,12.0,45.0,30.0,-0.735136205569054
235,15.0,45.0,30.0,-0.587908560913748
236,20.0,45.0,30.0,-0.446130738584685
237,30.0,45.0,30.0,-0.312261448690701
238,1.0,60.0,30.0,7093199.54880647
239,2.0,60.0,30.0,1728.6596367353
240,3.0,60.0,30.0,11.1394941345206
241,4.0,60.0,30.0,-1.87184234591645
242,5.0,60.0,30.0,-1.78961899007668
243,6.0,60.0,30.0,-1.48961700955925
244,7.0,60.0,30.0,-1.26991934414079
245,8.0,60.0,30.0,-1.1075565643495
246,9.0,60.0,30.0,-0.982505508287236
247,10.0,60.0,30.0,-0.883057004153565
248,12.0,60.0,30.0,-0.734852115312953
249,15.0,60.0,30.0,-0.588506917801853
250,20.0,60.0,30.0,-0.446735402665463
251,30.0,60.0,30.0,-0.299727754471724
252,1.0,75.0,30.0,7093192.87355893
253,2.0,75.0,30.0,1720.11961661438
254,3.0,75.0,30.0,10.2005741499986
255,4.0,75.0,30.0,-1.89489526918099
256,5.0,75.0,30.0,-1.78726208196018
257,6.0,75.0,30.0,-1.49100395829699
258,7.0,75.0,30.0,-1.27262541814694
259,8.0,75.0,30.0,-1.11060268144286
