,Radius,Theta,Phi,LMP.Int.En.
146,12.0,135,0,-0.622302306227894
147,15.0,135,0,-0.49503183948871
148,20.0,135,0,-0.376805163629249
149,30.0,135,0,-0.260611878104845
150,3.0,150,0,154945.202509481
151,3.5,150,0,-0.426812446072128
152,4.0,150,0,-3.10102103173964
153,4.5,150,0,-2.27991743116644
154,5.0,150,0,-1.86946692008316
155,5.5,150,0,-1.60136793695809
156,6.0,150,0,-1.40902885798438
157,7.0,150,0,-1.14674746314388
158,8.0,150,0,-0.973172894770444
159,9.0,150,0,-0.848342246391941
160,10.0,150,0,-0.753695557588743
161,12.0,150,0,-0.619128689965462
162,15.0,150,0,-0.492676214698233
163,20.0,150,0,-0.375209815699616
164,30.0,150,0,-0.24033171436963
165,3.0,165,0,-3.22777210660258
166,3.5,165,0,-2.76936572479951
167,4.0,165,0,-2.31331519069685
168,4.5,165,0,-1.95833197931543
169,5.0,165,0,-1.69293492064554
170,5.5,165,0,-1.49162362126647
171,6.0,165,0,-1.33472521611003
172,7.0,165,0,-1.10631866425745
173,8.0,165,0,-0.947668067855788
174,9.0,165,0,-0.830676191612212
175,10.0,165,0,-0.740660024000997
176,12.0,165,0,-0.611083988577446
177,15.0,165,0,-0.487920561821686
178,20.0,165,0,-0.372413296654066
179,30.0,165,0,-0.258942755695605
180,3.0,175,0,-2.59892000126184
181,3.5,175,0,-2.29702183416143
182,4.0,175,0,-2.00972963554524
183,4.5,175,0,-1.7650079923944
184,5.0,175,0,-1.5652855645077
185,5.5,175,0,-1.40335393599828
186,6.0,175,0,-1.270986238225
187,7.0,175,0,-1.06937711718936
188,8.0,175,0,-0.92388297674111
189,9.0,175,0,-0.814179901386206
190,10.0,175,0,-0.728582042137482
191,12.0,175,0,-0.603830073527478
192,15.0,175,0,-0.483854476498911
193,20.0,175,0,-0.370294460945652
194,30.0,175,0,-0.237954006770421
195,3.0,5,30,167440.934914075
196,3.5,5,30,-7.82616799211932
197,4.0,5,30,-2.80779552141097
198,4.5,5,30,-2.16736716723815
199,5.0,5,30,-1.8165220252555
200,5.5,5,30,-1.57513502181362
201,6.0,5,30,-1.39605823353601
202,7.0,5,30,-1.14482707264489
203,8.0,5,30,-0.97487149453544
204,9.0,5,30,-0.851227737519155
205,10.0,5,30,-0.756857728304497
206,12.0,5,30,-0.62196299615233
207,15.0,5,30,-0.494591658001567
208,20.0,5,30,-0.375708008466904
209,30.0,5,30,-0.24100832292545
210,3.0,15,30,-8.62311317043208
211,3.5,15,30,-3.57859627366763
212,4.0,15,30,-2.50729385478845
213,4.5,15,30,-2.05741606720919
214,5.0,15,30,-1.75836138917859
215,5.5,15,30,-1.54071257782119
216,6.0,15,30,-1.37429222253717
217,7.0,15,30,-1.13502011481514
218,8.0,15,30,-0.970067487126244
219,9.0,15,30,-0.848828719119319
220,10.0,15,30,-0.755720655110694
221,12.0,15,30,-0.62193477403481
222,15.0,15,30,-0.495045633625636
223,20.0,15,30,-0.376334732764556
224,30.0,15,30,-0.261348563942193
225,3.0,30,30,-2.89792359578325
226,3.5,30,30,-2.46754794773582
227,4.0,30,30,-2.11681508016403
228,4.5,30,30,-1.84139352921165
229,5.0,30,30,-1.62537971720092
230,5.5,30,30,-1.45361081843106
231,6.0,30,30,-1.31453540323295
232,7.0,30,30,-1.10391565751703
233,8.0,30,30,-0.952297523253432
234,9.0,30,30,-0.838031068469356
235,10.0,30,30,-0.748885074971026
236,12.0,30,30,-0.619020942764973
237,15.0,30,30,-0.494344581211163
238,20.0,30,30,-0.376898850416956
239,30.0,30,30,-0.242027191272519
240,3.0,45,30,-2.4276872071892
241,3.5,45,30,-2.1338163353658
242,4.0,45,30,-1.88687867742846
243,4.5,45,30,-1.68244110590452
244,5.0,45,30,-1.51348006249191
245,5.5,45,30,-1.37300839308567
246,6.0,45,30,-1.25513615319262
247,7.0,45,30,-1.06964015960971
248,8.0,45,30,-0.931173215134151
249,9.0,45,30,-0.824337301890642
250,10.0,45,30,-0.739657766467875
251,12.0,45,30,-0.614478269139137
252,15.0,45,30,-0.492632620455029
253,20.0,45,30,-0.376831754051812
254,30.0,45,30,-0.262024348191275
255,3.0,60,30,-2.23707742813484
256,3.5,60,30,-1.9801719113328
257,4.0,60,30,-1.76852260019117
258,4.5,60,30,-1.59265448380586
259,5.0,60,30,-1.44534489823997
260,5.5,60,30,-1.32089744596868
261,6.0,60,30,-1.21483942794736
262,7.0,60,30,-1.04465607202343
263,8.0,60,30,-0.914955059756261
264,9.0,60,30,-0.813379595557778
265,10.0,60,30,-0.731997913997196
266,12.0,60,30,-0.610415257678119
267,15.0,60,30,-0.490802247870185
268,20.0,60,30,-0.376189895980163
269,30.0,60,30,-0.240942969711457
270,3.0,75,30,-2.16971519616157
271,3.5,75,30,-1.92544806847054
272,4.0,75,30,-1.72541645232196
273,4.5,75,30,-1.55908146168174
274,5.0,75,30,-1.41920088085447
275,5.5,75,30,-1.30041994140765
276,6.0,75,30,-1.19865594174071
277,7.0,75,30,-1.03422596358918
278,8.0,75,30,-0.90794254312224
279,9.0,75,30,-0.808476538246981
280,10.0,75,30,-0.728446009670169
281,12.0,75,30,-0.608366707592996
282,15.0,75,30,-0.489681815608012
283,20.0,75,30,-0.375436870296014
284,30.0,75,30,-0.273282124377043
285,3.0,90,30,-2.19211473189176
286,3.5,90,30,-1.94769384144054
287,4.0,90,30,-1.7452458702919
288,4.5,90,30,-1.57576988956154
289,5.0,90,30,-1.43282349064072
290,5.5,90,30,-1.31136731674194
291,6.0,90,30,-1.20739154964916
292,7.0,90,30,-1.03976739441504
293,8.0,90,30,-0.911479890530555
294,9.0,90,30,-0.810753895607332
295,10.0,90,30,-0.729918655197699
296,12.0,90,30,-0.608962323950584
297,15.0,90,30,-0.489744696780807
298,20.0,90,30,-0.375177781388787
299,30.0,90,30,-0.237345021612208
300,3.0,105,30,-2.31531332734132
301,3.5,105,30,-2.05743172067697
