# Fix print output for fix 333
3.0 5 0 167440.934241415
3.5 5 0 -7.82678509730986
4.0 5 0 -2.80835860243754
4.5 5 0 -2.16788019384647
5.0 5 0 -1.81698933222287
5.5 5 0 -1.57556131094443
6.0 5 0 -1.39644757443339
7.0 5 0 -1.1451539984495
8.0 5 0 -0.975148362587695
9.0 5 0 -0.851464387353456
10.0 5 0 -0.757061383534521
12.0 5 0 -0.622117089029081
15.0 5 0 -0.494697280627102
20.0 5 0 -0.375768134105613
30.0 5 0 -0.241007961153067
3.0 15 0 -8.62533114425144
3.5 15 0 -3.58062999435277
4.0 15 0 -2.50914673161207
4.5 15 0 -2.05910047463626
5.0 15 0 -1.75989199394248
5.5 15 0 -1.54210463320289
6.0 15 0 -1.37556044153258
7.0 15 0 -1.1360792879361
8.0 15 0 -0.97095991006351
9.0 15 0 -0.84958752935622
10.0 15 0 -0.756371250098699
12.0 15 0 -0.622423201905279
15.0 15 0 -0.495376354206992
20.0 15 0 -0.376517003455602
30.0 15 0 -0.26131811307581
3.0 30 0 -2.90320332237839
3.5 30 0 -2.47238251371154
4.0 30 0 -2.12120502054496
4.5 30 0 -1.84536473684617
5.0 30 0 -1.62896824016672
5.5 30 0 -1.45685527960835
6.0 30 0 -1.31747322807186
7.0 30 0 -1.10633987309829
8.0 30 0 -0.954317666210517
9.0 30 0 -0.839730834848725
10.0 30 0 -0.750328002527297
12.0 30 0 -0.620083088382724
15.0 30 0 -0.495037088412037
20.0 30 0 -0.377222216306367
30.0 30 0 -0.241683144167111
3.0 45 0 -2.43755654713836
3.5 45 0 -2.14283628347983
4.0 45 0 -1.89502343032988
4.5 45 0 -1.68975261271109
5.0 45 0 -1.5200293409657
5.5 45 0 -1.37887562428718
6.0 45 0 -1.26040005085972
7.0 45 0 -1.07390690907828
8.0 45 0 -0.934670239065919
9.0 45 0 -0.827234876357356
10.0 45 0 -0.742081799752707
12.0 45 0 -0.616211166995352
15.0 45 0 -0.493696962535168
20.0 45 0 -0.377190325964698
30.0 45 0 -0.261065519754313
3.0 60 0 -2.25445904812758
3.5 60 0 -1.99600660458791
4.0 60 0 -1.78269221955452
4.5 60 0 -1.60521937129261
5.0 60 0 -1.45644639496762
5.5 60 0 -1.33070305256533
6.0 60 0 -1.22351414377796
7.0 60 0 -1.0515044870761
8.0 60 0 -0.920436900519875
9.0 60 0 -0.8178271930386
10.0 60 0 -0.735648592294484
12.0 60 0 -0.612933867686913
15.0 60 0 -0.4922526613488
20.0 60 0 -0.376514231191881
30.0 60 0 -0.253152414998308
3.0 75 0 -2.20073041016095
3.5 75 0 -1.95354520886863
4.0 75 0 -1.75017407186163
4.5 75 0 -1.58059196998397
5.0 75 0 -1.43778705395283
5.5 75 0 -1.31647173108597
6.0 75 0 -1.21255268823379
7.0 75 0 -1.04477527679958
8.0 75 0 -0.916110302953297
9.0 75 0 -0.814920093196169
10.0 75 0 -0.733610660741533
12.0 75 0 -0.611793308164345
15.0 75 0 -0.491554875334917
20.0 75 0 -0.375759877921697
30.0 75 0 -0.272096693733899
3.0 90 0 -2.25147531640355
3.5 90 0 -2.00089821196986
4.0 90 0 -1.79080532929116
4.5 90 0 -1.613938351094
5.0 90 0 -1.46456484813335
5.5 90 0 -1.33778619538013
6.0 90 0 -1.22949448319447
7.0 90 0 -1.05558897124601
8.0 90 0 -0.923170154484974
9.0 90 0 -0.819641742183754
10.0 90 0 -0.736836253676164
12.0 90 0 -0.613363085942308
15.0 90 0 -0.492068082016945
20.0 90 0 -0.375606795387896
30.0 90 0 -0.236183916995005
3.0 105 0 -2.44670726498808
3.5 105 0 -2.17243045372025
4.0 105 0 -1.92826716054904
4.5 105 0 -1.71947671450479
5.0 105 0 -1.54441531145423
5.5 105 0 -1.39819750798979
6.0 105 0 -1.27551673428591
7.0 105 0 -1.08312879772757
8.0 105 0 -0.940372472693446
9.0 105 0 -0.830808640988365
10.0 105 0 -0.744327380072209
12.0 105 0 -0.617017400741698
15.0 105 0 -0.493550583488439
20.0 105 0 -0.376218629258416
30.0 105 0 -0.257870885474274
3.0 120 0 -2.99880074635394
3.5 120 0 -2.62247209020232
4.0 120 0 -2.24281579972346
4.5 120 0 -1.93057549926369
5.0 120 0 -1.68706581596383
5.5 120 0 -1.49678897296167
6.0 120 0 -1.34541225416178
7.0 120 0 -1.1207819390531
8.0 120 0 -0.962222397060055
9.0 120 0 -0.844214785028418
10.0 120 0 -0.752907185785579
12.0 120 0 -0.62088014093742
15.0 120 0 -0.494994824050463
20.0 120 0 -0.376949895874504
30.0 120 0 -0.239748083489473
3.0 135 0 198.597088519537
3.5 135 0 -7.05780851591791
4.0 135 0 -2.90913556368047
4.5 135 0 -2.23636481904593
5.0 135 0 -1.85424568746516
5.5 135 0 -1.59677924435864
6.0 135 0 -1.4091473836466
7.0 135 0 -1.1502199920593
8.0 135 0 -0.977358548046966
9.0 135 0 -0.852478452044973
10.0 135 0 -0.757548180689538
12.0 135 0 -0.622302306227894
15.0 135 0 -0.49503183948871
20.0 135 0 -0.376805163629249
30.0 135 0 -0.260611878104845
3.0 150 0 154945.202509481
3.5 150 0 -0.426812446072128
4.0 150 0 -3.10102103173964
4.5 150 0 -2.27991743116644
5.0 150 0 -1.86946692008316
5.5 150 0 -1.60136793695809
6.0 150 0 -1.40902885798438
7.0 150 0 -1.14674746314388
8.0 150 0 -0.973172894770444
9.0 150 0 -0.848342246391941
10.0 150 0 -0.753695557588743
12.0 150 0 -0.619128689965462
15.0 150 0 -0.492676214698233
20.0 150 0 -0.375209815699616
